carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2021-12-01T00:07:35,2021-12-01T00:29:27+08:00,147,0
J85M,2021-12-01T00:07:59,2021-12-01T00:29:27+08:00,269,85
J72,2021-12-01T00:07:59,2021-12-01T00:29:27+08:00,220,0
J69,2021-12-01T00:07:43,2021-12-01T00:29:27+08:00,222,22
JM31,2021-12-01T00:07:38,2021-12-01T00:29:27+08:00,188,113
J62M,2021-12-01T00:07:48,2021-12-01T00:29:27+08:00,200,143
J63,2021-12-01T00:07:48,2021-12-01T00:29:27+08:00,150,2
J83M,2021-12-01T00:07:47,2021-12-01T00:29:27+08:00,121,0
J67,2021-12-01T00:07:43,2021-12-01T00:29:27+08:00,156,22
JM2,2021-12-01T00:07:21,2021-12-01T00:29:27+08:00,300,45
J70,2021-12-01T01:07:37,2021-12-01T01:29:27+08:00,147,0
J85M,2021-12-01T01:08:00,2021-12-01T01:29:27+08:00,269,83
J72,2021-12-01T01:08:00,2021-12-01T01:29:27+08:00,220,0
J69,2021-12-01T01:07:44,2021-12-01T01:29:27+08:00,222,17
JM31,2021-12-01T01:07:40,2021-12-01T01:29:27+08:00,188,113
J62M,2021-12-01T01:07:50,2021-12-01T01:29:27+08:00,200,138
J63,2021-12-01T01:07:49,2021-12-01T01:29:27+08:00,150,2
J83M,2021-12-01T01:07:48,2021-12-01T01:29:27+08:00,121,0
J67,2021-12-01T01:07:44,2021-12-01T01:29:27+08:00,156,18
JM2,2021-12-01T01:08:22,2021-12-01T01:29:27+08:00,300,47
J70,2021-12-01T02:08:08,2021-12-01T02:29:27+08:00,147,0
J85M,2021-12-01T02:08:02,2021-12-01T02:29:27+08:00,269,80
J72,2021-12-01T02:08:02,2021-12-01T02:29:27+08:00,220,0
J69,2021-12-01T02:08:45,2021-12-01T02:29:27+08:00,222,19
JM31,2021-12-01T02:07:42,2021-12-01T02:29:27+08:00,188,111
J62M,2021-12-01T02:07:52,2021-12-01T02:29:27+08:00,200,136
J63,2021-12-01T02:07:51,2021-12-01T02:29:27+08:00,150,1
J83M,2021-12-01T02:07:50,2021-12-01T02:29:27+08:00,121,0
J67,2021-12-01T02:08:45,2021-12-01T02:29:27+08:00,156,36
JM2,2021-12-01T02:08:52,2021-12-01T02:29:27+08:00,300,46
J70,2021-12-01T03:10:10,2021-12-01T03:29:27+08:00,147,0
J85M,2021-12-01T03:10:08,2021-12-01T03:29:27+08:00,269,79
J72,2021-12-01T03:09:55,2021-12-01T03:29:27+08:00,220,0
J69,2021-12-01T03:09:26,2021-12-01T03:29:27+08:00,222,14
JM31,2021-12-01T03:09:56,2021-12-01T03:29:27+08:00,188,110
J62M,2021-12-01T03:09:54,2021-12-01T03:29:27+08:00,200,136
J63,2021-12-01T03:09:54,2021-12-01T03:29:27+08:00,150,1
J83M,2021-12-01T03:10:13,2021-12-01T03:29:27+08:00,121,0
J67,2021-12-01T03:09:26,2021-12-01T03:29:27+08:00,156,35
JM2,2021-12-01T03:09:52,2021-12-01T03:29:27+08:00,300,111
J70,2021-12-01T04:10:12,2021-12-01T04:29:27+08:00,147,0
J85M,2021-12-01T04:10:10,2021-12-01T04:29:27+08:00,269,80
J72,2021-12-01T04:09:57,2021-12-01T04:29:27+08:00,220,2
J69,2021-12-01T04:10:27,2021-12-01T04:29:27+08:00,222,16
JM31,2021-12-01T04:09:58,2021-12-01T04:29:27+08:00,188,109
J62M,2021-12-01T04:09:55,2021-12-01T04:29:27+08:00,200,134
J63,2021-12-01T04:09:56,2021-12-01T04:29:27+08:00,150,3
J83M,2021-12-01T04:10:15,2021-12-01T04:29:27+08:00,121,1
J67,2021-12-01T04:10:27,2021-12-01T04:29:27+08:00,156,31
JM2,2021-12-01T04:10:31,2021-12-01T04:29:27+08:00,300,106
J70,2021-12-01T05:12:14,2021-12-01T05:29:27+08:00,147,1
J85M,2021-12-01T05:12:11,2021-12-01T05:29:27+08:00,269,84
J72,2021-12-01T05:11:58,2021-12-01T05:29:27+08:00,220,6
J69,2021-12-01T05:12:28,2021-12-01T05:29:27+08:00,222,22
JM31,2021-12-01T05:11:59,2021-12-01T05:29:27+08:00,188,109
J62M,2021-12-01T05:11:57,2021-12-01T05:29:27+08:00,200,134
J63,2021-12-01T05:11:58,2021-12-01T05:29:27+08:00,150,5
J83M,2021-12-01T05:12:16,2021-12-01T05:29:27+08:00,121,0
J67,2021-12-01T05:12:28,2021-12-01T05:29:27+08:00,156,34
JM2,2021-12-01T05:11:31,2021-12-01T05:29:27+08:00,300,107
J70,2021-12-01T06:12:15,2021-12-01T06:29:27+08:00,147,9
J85M,2021-12-01T06:12:13,2021-12-01T06:29:27+08:00,269,84
J72,2021-12-01T06:12:00,2021-12-01T06:29:27+08:00,220,18
J69,2021-12-01T06:13:29,2021-12-01T06:29:27+08:00,222,29
JM31,2021-12-01T06:12:01,2021-12-01T06:29:27+08:00,188,109
J62M,2021-12-01T06:11:59,2021-12-01T06:29:27+08:00,200,136
J63,2021-12-01T06:12:00,2021-12-01T06:29:27+08:00,150,9
J83M,2021-12-01T06:12:18,2021-12-01T06:29:27+08:00,121,5
J67,2021-12-01T06:13:29,2021-12-01T06:29:27+08:00,156,32
JM2,2021-12-01T06:12:31,2021-12-01T06:29:27+08:00,300,94
J70,2021-12-01T07:14:17,2021-12-01T07:29:27+08:00,147,35
J85M,2021-12-01T07:14:15,2021-12-01T07:29:27+08:00,269,116
J72,2021-12-01T07:14:02,2021-12-01T07:29:27+08:00,220,65
J69,2021-12-01T07:14:30,2021-12-01T07:29:27+08:00,222,71
JM31,2021-12-01T07:14:03,2021-12-01T07:29:27+08:00,188,113
J62M,2021-12-01T07:14:01,2021-12-01T07:29:27+08:00,200,138
J63,2021-12-01T07:14:02,2021-12-01T07:29:27+08:00,150,23
J83M,2021-12-01T07:14:20,2021-12-01T07:29:27+08:00,121,26
J67,2021-12-01T07:14:30,2021-12-01T07:29:27+08:00,156,31
JM2,2021-12-01T07:14:01,2021-12-01T07:29:27+08:00,300,50
J70,2021-12-01T08:14:19,2021-12-01T08:29:27+08:00,147,50
J85M,2021-12-01T08:14:17,2021-12-01T08:29:27+08:00,269,144
J72,2021-12-01T08:14:34,2021-12-01T08:29:27+08:00,220,107
J69,2021-12-01T08:14:31,2021-12-01T08:29:27+08:00,222,111
JM31,2021-12-01T08:14:05,2021-12-01T08:29:27+08:00,188,119
J62M,2021-12-01T08:14:33,2021-12-01T08:29:27+08:00,200,147
J63,2021-12-01T08:14:03,2021-12-01T08:29:27+08:00,150,54
J83M,2021-12-01T08:14:22,2021-12-01T08:29:27+08:00,121,46
J67,2021-12-01T08:14:31,2021-12-01T08:29:27+08:00,156,40
JM2,2021-12-01T08:15:01,2021-12-01T08:29:27+08:00,300,0
J70,2021-12-01T09:16:21,2021-12-01T09:29:26+08:00,147,59
J85M,2021-12-01T09:16:18,2021-12-01T09:29:26+08:00,269,164
J72,2021-12-01T09:16:36,2021-12-01T09:29:26+08:00,220,116
J69,2021-12-01T09:15:32,2021-12-01T09:29:26+08:00,222,129
JM31,2021-12-01T09:16:37,2021-12-01T09:29:26+08:00,188,120
J62M,2021-12-01T09:16:34,2021-12-01T09:29:26+08:00,200,164
J63,2021-12-01T09:16:35,2021-12-01T09:29:26+08:00,150,82
J83M,2021-12-01T09:16:23,2021-12-01T09:29:26+08:00,121,52
J67,2021-12-01T09:15:32,2021-12-01T09:29:26+08:00,156,48
JM2,2021-12-01T09:16:02,2021-12-01T09:29:26+08:00,300,0
J70,2021-12-01T10:16:23,2021-12-01T10:29:27+08:00,147,64
J85M,2021-12-01T10:16:20,2021-12-01T10:29:27+08:00,269,175
J72,2021-12-01T10:16:37,2021-12-01T10:29:27+08:00,220,107
J69,2021-12-01T10:16:33,2021-12-01T10:29:27+08:00,222,134
JM31,2021-12-01T10:16:38,2021-12-01T10:29:27+08:00,188,116
J62M,2021-12-01T10:16:36,2021-12-01T10:29:27+08:00,200,168
J63,2021-12-01T10:16:42,2021-12-01T10:29:27+08:00,150,86
J83M,2021-12-01T10:16:25,2021-12-01T10:29:27+08:00,121,64
J67,2021-12-01T10:16:32,2021-12-01T10:29:27+08:00,156,43
JM2,2021-12-01T10:16:32,2021-12-01T10:29:27+08:00,300,0
J70,2021-12-01T11:18:24,2021-12-01T11:29:26+08:00,147,64
J85M,2021-12-01T11:18:22,2021-12-01T11:29:26+08:00,269,184
J72,2021-12-01T11:18:39,2021-12-01T11:29:26+08:00,220,122
J69,2021-12-01T11:18:33,2021-12-01T11:29:26+08:00,222,145
JM31,2021-12-01T11:18:40,2021-12-01T11:29:26+08:00,188,112
J62M,2021-12-01T11:18:38,2021-12-01T11:29:26+08:00,200,170
J63,2021-12-01T11:18:44,2021-12-01T11:29:26+08:00,150,92
J83M,2021-12-01T11:18:27,2021-12-01T11:29:26+08:00,121,60
J67,2021-12-01T11:18:33,2021-12-01T11:29:26+08:00,156,56
JM2,2021-12-01T11:17:32,2021-12-01T11:29:26+08:00,300,0
J70,2021-12-01T12:18:26,2021-12-01T12:29:26+08:00,147,43
J85M,2021-12-01T12:18:23,2021-12-01T12:29:26+08:00,269,183
J72,2021-12-01T12:18:41,2021-12-01T12:29:26+08:00,220,112
J69,2021-12-01T12:19:34,2021-12-01T12:29:26+08:00,222,151
JM31,2021-12-01T12:18:42,2021-12-01T12:29:26+08:00,188,82
J62M,2021-12-01T12:18:40,2021-12-01T12:29:26+08:00,200,168
J63,2021-12-01T12:18:46,2021-12-01T12:29:26+08:00,150,88
J83M,2021-12-01T12:18:29,2021-12-01T12:29:26+08:00,121,61
J67,2021-12-01T12:19:34,2021-12-01T12:29:26+08:00,156,31
JM2,2021-12-01T12:18:32,2021-12-01T12:29:26+08:00,300,0
J70,2021-12-01T13:20:28,2021-12-01T13:29:27+08:00,147,39
J85M,2021-12-01T13:20:25,2021-12-01T13:29:27+08:00,269,183
J72,2021-12-01T13:20:43,2021-12-01T13:29:27+08:00,220,104
J69,2021-12-01T13:20:35,2021-12-01T13:29:27+08:00,222,83
JM31,2021-12-01T13:20:44,2021-12-01T13:29:27+08:00,188,104
J62M,2021-12-01T13:20:42,2021-12-01T13:29:27+08:00,200,170
J63,2021-12-01T13:20:50,2021-12-01T13:29:27+08:00,150,90
J83M,2021-12-01T13:20:31,2021-12-01T13:29:27+08:00,121,67
J67,2021-12-01T13:20:35,2021-12-01T13:29:27+08:00,156,38
JM2,2021-12-01T13:19:32,2021-12-01T13:29:27+08:00,300,0
J70,2021-12-01T14:20:30,2021-12-01T14:29:27+08:00,147,25
J85M,2021-12-01T14:20:57,2021-12-01T14:29:27+08:00,269,176
J72,2021-12-01T14:20:44,2021-12-01T14:29:27+08:00,220,111
J69,2021-12-01T14:20:36,2021-12-01T14:29:27+08:00,222,78
JM31,2021-12-01T14:20:45,2021-12-01T14:29:27+08:00,188,121
J62M,2021-12-01T14:20:43,2021-12-01T14:29:27+08:00,200,173
J63,2021-12-01T14:20:49,2021-12-01T14:29:27+08:00,150,89
J83M,2021-12-01T14:20:32,2021-12-01T14:29:27+08:00,121,65
