carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2021-09-01T00:21:34,2021-09-01T00:29:27+08:00,147,0
J85M,2021-09-01T00:21:36,2021-09-01T00:29:27+08:00,269,94
J72,2021-09-01T00:21:18,2021-09-01T00:29:27+08:00,220,0
J69,2021-09-01T00:19:33,2021-09-01T00:29:27+08:00,222,20
JM31,2021-09-01T00:21:44,2021-09-01T00:29:27+08:00,188,118
J62M,2021-09-01T00:21:31,2021-09-01T00:29:27+08:00,200,135
J63,2021-09-01T00:21:24,2021-09-01T00:29:27+08:00,150,0
J83M,2021-09-01T00:21:15,2021-09-01T00:29:27+08:00,121,0
J67,2021-09-01T00:19:33,2021-09-01T00:29:27+08:00,156,39
JM2,2021-09-01T00:20:30,2021-09-01T00:29:27+08:00,300,157
J70,2021-09-01T01:21:35,2021-09-01T01:29:27+08:00,147,0
J85M,2021-09-01T01:21:38,2021-09-01T01:29:27+08:00,269,93
J72,2021-09-01T01:21:20,2021-09-01T01:29:27+08:00,220,0
J69,2021-09-01T01:20:35,2021-09-01T01:29:27+08:00,222,22
JM31,2021-09-01T01:21:45,2021-09-01T01:29:27+08:00,188,117
J62M,2021-09-01T01:21:32,2021-09-01T01:29:27+08:00,200,133
J63,2021-09-01T01:21:26,2021-09-01T01:29:27+08:00,150,0
J83M,2021-09-01T01:21:46,2021-09-01T01:29:27+08:00,121,0
J67,2021-09-01T01:20:34,2021-09-01T01:29:27+08:00,156,34
JM2,2021-09-01T01:21:01,2021-09-01T01:29:27+08:00,300,156
J70,2021-09-01T02:23:37,2021-09-01T02:29:27+08:00,147,0
J85M,2021-09-01T02:23:39,2021-09-01T02:29:27+08:00,269,92
J72,2021-09-01T02:23:22,2021-09-01T02:29:27+08:00,220,0
J69,2021-09-01T02:22:35,2021-09-01T02:29:27+08:00,222,30
JM31,2021-09-01T02:23:47,2021-09-01T02:29:27+08:00,188,116
J62M,2021-09-01T02:23:34,2021-09-01T02:29:27+08:00,200,133
J63,2021-09-01T02:23:27,2021-09-01T02:29:27+08:00,150,0
J83M,2021-09-01T02:23:48,2021-09-01T02:29:27+08:00,121,0
J67,2021-09-01T02:22:35,2021-09-01T02:29:27+08:00,156,43
JM2,2021-09-01T02:22:02,2021-09-01T02:29:27+08:00,300,158
