carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2020-03-01T00:29:09,2020-03-01T00:29:27+08:00,147,7
J85M,2020-03-01T00:29:15,2020-03-01T00:29:27+08:00,269,55
J72,2020-03-01T00:28:52,2020-03-01T00:29:27+08:00,220,0
J69,2020-03-01T00:29:13,2020-03-01T00:29:27+08:00,222,40
JM31,2020-03-01T00:29:17,2020-03-01T00:29:27+08:00,180,34
J62M,2020-03-01T00:29:05,2020-03-01T00:29:27+08:00,200,85
J63,2020-03-01T00:29:13,2020-03-01T00:29:27+08:00,150,0
J83M,2020-03-01T00:29:16,2020-03-01T00:29:27+08:00,121,1
J67,2020-03-01T00:29:12,2020-03-01T00:29:27+08:00,156,72
JM2,2020-03-01T00:29:02,2020-03-01T00:29:27+08:00,300,0
J70,2020-03-01T01:29:10,2020-03-01T01:29:27+08:00,147,11
J85M,2020-03-01T01:29:17,2020-03-01T01:29:27+08:00,269,49
J72,2020-03-01T01:29:24,2020-03-01T01:29:27+08:00,220,0
J69,2020-03-01T01:28:13,2020-03-01T01:29:27+08:00,222,38
JM31,2020-03-01T01:29:19,2020-03-01T01:29:27+08:00,180,37
J62M,2020-03-01T01:29:07,2020-03-01T01:29:27+08:00,200,75
J63,2020-03-01T01:29:14,2020-03-01T01:29:27+08:00,150,0
J83M,2020-03-01T01:29:18,2020-03-01T01:29:27+08:00,121,0
J67,2020-03-01T01:28:13,2020-03-01T01:29:27+08:00,156,75
JM2,2020-03-01T01:29:02,2020-03-01T01:29:27+08:00,300,0
J70,2020-03-01T02:29:12,2020-03-01T02:29:27+08:00,147,14
J85M,2020-03-01T02:29:18,2020-03-01T02:29:27+08:00,269,47
J72,2020-03-01T02:29:25,2020-03-01T02:29:27+08:00,220,0
J69,2020-03-01T02:28:15,2020-03-01T02:29:27+08:00,222,31
JM31,2020-03-01T02:29:20,2020-03-01T02:29:27+08:00,180,35
J62M,2020-03-01T02:29:08,2020-03-01T02:29:27+08:00,200,76
J63,2020-03-01T02:29:16,2020-03-01T02:29:27+08:00,150,0
J83M,2020-03-01T02:29:19,2020-03-01T02:29:27+08:00,121,0
J67,2020-03-01T02:28:14,2020-03-01T02:29:27+08:00,156,81
JM2,2020-03-01T02:28:31,2020-03-01T02:29:27+08:00,300,0
J70,2020-03-01T03:29:18,2020-03-01T03:29:27+08:00,147,17
J85M,2020-03-01T03:29:06,2020-03-01T03:29:27+08:00,269,46
J72,2020-03-01T03:29:16,2020-03-01T03:29:27+08:00,220,0
J69,2020-03-01T03:27:53,2020-03-01T03:29:27+08:00,222,24
JM31,2020-03-01T03:29:06,2020-03-01T03:29:27+08:00,180,35
J62M,2020-03-01T03:29:28,2020-03-01T03:29:27+08:00,200,75
J63,2020-03-01T03:29:28,2020-03-01T03:29:27+08:00,150,0
J83M,2020-03-01T03:29:14,2020-03-01T03:29:27+08:00,121,0
J67,2020-03-01T03:27:52,2020-03-01T03:29:27+08:00,156,77
JM2,2020-03-01T03:28:31,2020-03-01T03:29:27+08:00,300,0
J70,2020-03-01T04:29:20,2020-03-01T04:29:27+08:00,147,16
J85M,2020-03-01T04:29:08,2020-03-01T04:29:27+08:00,269,45
J72,2020-03-01T04:29:18,2020-03-01T04:29:27+08:00,220,0
J69,2020-03-01T04:27:54,2020-03-01T04:29:27+08:00,222,25
