carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2020-04-01T00:29:44,2020-04-01T00:29:27+08:00,147,0
J85M,2020-04-01T00:30:02,2020-04-01T00:29:27+08:00,269,99
J72,2020-04-01T00:29:47,2020-04-01T00:29:27+08:00,220,0
J69,2020-04-01T00:28:16,2020-04-01T00:29:27+08:00,222,22
JM31,2020-04-01T00:29:56,2020-04-01T00:29:27+08:00,188,118
J62M,2020-04-01T00:29:46,2020-04-01T00:29:27+08:00,200,141
J63,2020-04-01T00:29:43,2020-04-01T00:29:27+08:00,150,1
J83M,2020-04-01T00:29:48,2020-04-01T00:29:27+08:00,121,8
J67,2020-04-01T00:28:15,2020-04-01T00:29:27+08:00,156,64
JM2,2020-04-01T00:28:50,2020-04-01T00:29:27+08:00,300,0
J70,2020-04-01T01:29:45,2020-04-01T01:29:27+08:00,147,15
J85M,2020-04-01T01:30:03,2020-04-01T01:29:27+08:00,269,97
J72,2020-04-01T01:29:49,2020-04-01T01:29:27+08:00,220,0
J69,2020-04-01T01:28:17,2020-04-01T01:29:27+08:00,222,21
JM31,2020-04-01T01:29:58,2020-04-01T01:29:27+08:00,188,116
J62M,2020-04-01T01:29:48,2020-04-01T01:29:27+08:00,200,141
J63,2020-04-01T01:29:45,2020-04-01T01:29:27+08:00,150,0
J83M,2020-04-01T01:29:49,2020-04-01T01:29:27+08:00,121,5
J67,2020-04-01T01:28:16,2020-04-01T01:29:27+08:00,156,54
JM2,2020-04-01T01:28:20,2020-04-01T01:29:27+08:00,300,0
J70,2020-04-01T02:29:47,2020-04-01T02:29:26+08:00,147,14
J85M,2020-04-01T02:30:05,2020-04-01T02:29:26+08:00,269,95
J72,2020-04-01T02:29:51,2020-04-01T02:29:26+08:00,220,0
J69,2020-04-01T02:29:18,2020-04-01T02:29:26+08:00,222,20
JM31,2020-04-01T02:29:59,2020-04-01T02:29:26+08:00,188,116
J62M,2020-04-01T02:29:50,2020-04-01T02:29:26+08:00,200,140
J63,2020-04-01T02:29:46,2020-04-01T02:29:26+08:00,150,0
J83M,2020-04-01T02:29:51,2020-04-01T02:29:26+08:00,121,0
J67,2020-04-01T02:29:17,2020-04-01T02:29:26+08:00,156,62
JM2,2020-04-01T02:28:20,2020-04-01T02:29:26+08:00,300,0
J70,2020-04-01T03:29:52,2020-04-01T03:29:27+08:00,147,15
J85M,2020-04-01T03:30:12,2020-04-01T03:29:27+08:00,269,93
J72,2020-04-01T03:30:12,2020-04-01T03:29:27+08:00,220,1
J69,2020-04-01T03:28:59,2020-04-01T03:29:27+08:00,222,19
JM31,2020-04-01T03:29:54,2020-04-01T03:29:27+08:00,188,117
J62M,2020-04-01T03:29:46,2020-04-01T03:29:27+08:00,200,140
J63,2020-04-01T03:30:08,2020-04-01T03:29:27+08:00,150,1
