carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2018-08-01T00:28:17,2018-08-01T00:29:29+08:00,151,0
J85M,2018-08-01T00:28:10,2018-08-01T00:29:29+08:00,217,96
J72,2018-08-01T00:28:11,2018-08-01T00:29:29+08:00,255,26
J69,2018-08-01T00:28:14,2018-08-01T00:29:29+08:00,222,222
JM31,2018-08-01T00:28:11,2018-08-01T00:29:29+08:00,180,41
J62M,2018-08-01T00:27:40,2018-08-01T00:29:29+08:00,222,146
J63,2018-08-01T00:27:39,2018-08-01T00:29:29+08:00,153,0
J83M,2018-08-01T00:27:17,2018-08-01T00:29:29+08:00,163,83
J67,2018-08-01T00:28:01,2018-08-01T00:29:29+08:00,156,62
JM2,2018-08-01T00:28:36,2018-08-01T00:29:29+08:00,300,0
J70,2018-08-01T01:28:17,2018-08-01T01:29:29+08:00,151,0
J85M,2018-08-01T01:28:11,2018-08-01T01:29:29+08:00,217,93
J72,2018-08-01T01:28:13,2018-08-01T01:29:29+08:00,255,21
J69,2018-08-01T01:28:16,2018-08-01T01:29:29+08:00,222,222
JM31,2018-08-01T01:28:10,2018-08-01T01:29:29+08:00,180,39
J62M,2018-08-01T01:27:41,2018-08-01T01:29:29+08:00,222,145
J63,2018-08-01T01:27:40,2018-08-01T01:29:29+08:00,153,0
J83M,2018-08-01T01:27:18,2018-08-01T01:29:29+08:00,163,81
J67,2018-08-01T01:28:02,2018-08-01T01:29:29+08:00,156,60
JM2,2018-08-01T01:28:37,2018-08-01T01:29:29+08:00,300,0
J70,2018-08-01T02:28:18,2018-08-01T02:29:29+08:00,151,0
J85M,2018-08-01T02:28:12,2018-08-01T02:29:29+08:00,217,93
J72,2018-08-01T02:29:14,2018-08-01T02:29:29+08:00,255,21
J69,2018-08-01T02:29:04,2018-08-01T02:29:29+08:00,222,79
JM31,2018-08-01T02:28:12,2018-08-01T02:29:29+08:00,180,39
J62M,2018-08-01T02:28:41,2018-08-01T02:29:29+08:00,222,143
J63,2018-08-01T02:28:41,2018-08-01T02:29:29+08:00,153,0
J83M,2018-08-01T02:28:49,2018-08-01T02:29:29+08:00,163,78
J67,2018-08-01T02:29:03,2018-08-01T02:29:29+08:00,156,59
JM2,2018-08-01T02:28:08,2018-08-01T02:29:29+08:00,300,0
J70,2018-08-01T03:28:11,2018-08-01T03:29:29+08:00,151,0
J85M,2018-08-01T03:28:00,2018-08-01T03:29:29+08:00,217,93
J72,2018-08-01T03:29:04,2018-08-01T03:29:29+08:00,255,19
J69,2018-08-01T03:28:50,2018-08-01T03:29:29+08:00,222,222
JM31,2018-08-01T03:28:01,2018-08-01T03:29:29+08:00,180,38
J62M,2018-08-01T03:28:26,2018-08-01T03:29:29+08:00,222,143
J63,2018-08-01T03:28:26,2018-08-01T03:29:29+08:00,153,0
J83M,2018-08-01T03:28:27,2018-08-01T03:29:29+08:00,163,77
J67,2018-08-01T03:28:43,2018-08-01T03:29:29+08:00,156,63
JM2,2018-08-01T03:29:08,2018-08-01T03:29:29+08:00,300,0
J70,2018-08-01T04:28:11,2018-08-01T04:29:29+08:00,151,0
J85M,2018-08-01T04:28:01,2018-08-01T04:29:29+08:00,217,216
J72,2018-08-01T04:28:36,2018-08-01T04:29:29+08:00,255,32
J69,2018-08-01T04:28:51,2018-08-01T04:29:29+08:00,222,222
JM31,2018-08-01T04:28:02,2018-08-01T04:29:29+08:00,180,38
J62M,2018-08-01T04:28:26,2018-08-01T04:29:29+08:00,222,143
J63,2018-08-01T04:28:26,2018-08-01T04:29:29+08:00,153,0
J83M,2018-08-01T04:28:27,2018-08-01T04:29:29+08:00,163,162
J67,2018-08-01T04:28:44,2018-08-01T04:29:29+08:00,156,61
JM2,2018-08-01T04:29:08,2018-08-01T04:29:29+08:00,300,0
J70,2018-08-01T05:28:11,2018-08-01T05:29:27+08:00,151,0
J85M,2018-08-01T05:28:01,2018-08-01T05:29:27+08:00,217,216
J72,2018-08-01T05:28:38,2018-08-01T05:29:27+08:00,255,36
J69,2018-08-01T05:28:23,2018-08-01T05:29:27+08:00,222,222
JM31,2018-08-01T05:28:01,2018-08-01T05:29:27+08:00,180,36
J62M,2018-08-01T05:28:27,2018-08-01T05:29:27+08:00,222,144
J63,2018-08-01T05:28:27,2018-08-01T05:29:27+08:00,153,0
J83M,2018-08-01T05:28:28,2018-08-01T05:29:27+08:00,163,163
J67,2018-08-01T05:27:45,2018-08-01T05:29:27+08:00,156,50
JM2,2018-08-01T05:29:01,2018-08-01T05:29:27+08:00,300,0
J70,2018-08-01T06:28:11,2018-08-01T06:29:30+08:00,151,0
J85M,2018-08-01T06:28:02,2018-08-01T06:29:30+08:00,217,217
J72,2018-08-01T06:28:09,2018-08-01T06:29:30+08:00,255,57
J69,2018-08-01T06:28:25,2018-08-01T06:29:30+08:00,222,222
JM31,2018-08-01T06:28:02,2018-08-01T06:29:30+08:00,180,38
J62M,2018-08-01T06:28:28,2018-08-01T06:29:30+08:00,222,143
J63,2018-08-01T06:28:27,2018-08-01T06:29:30+08:00,153,4
J83M,2018-08-01T06:28:29,2018-08-01T06:29:30+08:00,163,163
J67,2018-08-01T06:27:46,2018-08-01T06:29:30+08:00,156,52
JM2,2018-08-01T06:28:32,2018-08-01T06:29:30+08:00,300,0
J70,2018-08-01T07:28:13,2018-08-01T07:29:30+08:00,151,0
J85M,2018-08-01T07:28:02,2018-08-01T07:29:30+08:00,217,216
J72,2018-08-01T07:28:12,2018-08-01T07:29:30+08:00,255,119
J69,2018-08-01T07:27:57,2018-08-01T07:29:30+08:00,222,222
JM31,2018-08-01T07:28:05,2018-08-01T07:29:30+08:00,180,47
J62M,2018-08-01T07:27:30,2018-08-01T07:29:30+08:00,222,151
J63,2018-08-01T07:27:30,2018-08-01T07:29:30+08:00,153,37
J83M,2018-08-01T07:27:00,2018-08-01T07:29:30+08:00,163,162
J67,2018-08-01T07:27:47,2018-08-01T07:29:30+08:00,156,54
JM2,2018-08-01T07:28:40,2018-08-01T07:29:30+08:00,300,0
J70,2018-08-01T08:28:14,2018-08-01T08:29:29+08:00,151,0
J85M,2018-08-01T08:28:03,2018-08-01T08:29:29+08:00,217,217
J72,2018-08-01T08:28:44,2018-08-01T08:29:29+08:00,255,169
J69,2018-08-01T08:28:58,2018-08-01T08:29:29+08:00,222,222
JM31,2018-08-01T08:28:05,2018-08-01T08:29:29+08:00,180,52
J62M,2018-08-01T08:28:31,2018-08-01T08:29:29+08:00,222,163
J63,2018-08-01T08:28:30,2018-08-01T08:29:29+08:00,153,61
J83M,2018-08-01T08:28:34,2018-08-01T08:29:29+08:00,163,163
J67,2018-08-01T08:28:48,2018-08-01T08:29:29+08:00,156,74
JM2,2018-08-01T08:28:10,2018-08-01T08:29:29+08:00,300,0
J70,2018-08-01T09:28:14,2018-08-01T09:29:31+08:00,151,0
J85M,2018-08-01T09:28:03,2018-08-01T09:29:31+08:00,217,216
J72,2018-08-01T09:28:46,2018-08-01T09:29:31+08:00,255,181
J69,2018-08-01T09:29:00,2018-08-01T09:29:31+08:00,222,222
JM31,2018-08-01T09:28:04,2018-08-01T09:29:31+08:00,180,55
J62M,2018-08-01T09:28:31,2018-08-01T09:29:31+08:00,222,166
J63,2018-08-01T09:28:30,2018-08-01T09:29:31+08:00,153,71
J83M,2018-08-01T09:28:30,2018-08-01T09:29:31+08:00,163,163
J67,2018-08-01T09:28:49,2018-08-01T09:29:31+08:00,156,60
JM2,2018-08-01T09:29:11,2018-08-01T09:29:31+08:00,300,0
J70,2018-08-01T10:28:14,2018-08-01T10:29:30+08:00,151,5
J85M,2018-08-01T10:28:04,2018-08-01T10:29:30+08:00,217,217
