carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2020-10-01T00:20:25,2020-10-01T00:29:26+08:00,147,1
J85M,2020-10-01T00:20:26,2020-10-01T00:29:26+08:00,269,92
J72,2020-10-01T00:20:30,2020-10-01T00:29:26+08:00,220,0
J69,2020-10-01T00:21:45,2020-10-01T00:29:26+08:00,222,8
JM31,2020-10-01T00:20:33,2020-10-01T00:29:26+08:00,188,83
J62M,2020-10-01T00:20:52,2020-10-01T00:29:26+08:00,200,126
J63,2020-10-01T00:20:27,2020-10-01T00:29:26+08:00,150,6
J83M,2020-10-01T00:20:36,2020-10-01T00:29:26+08:00,121,2
J67,2020-10-01T00:21:44,2020-10-01T00:29:26+08:00,156,44
JM2,2020-10-01T00:20:40,2020-10-01T00:29:26+08:00,300,0
J70,2020-10-01T01:22:26,2020-10-01T01:29:27+08:00,147,13
J85M,2020-10-01T01:22:27,2020-10-01T01:29:27+08:00,269,89
J72,2020-10-01T01:22:31,2020-10-01T01:29:27+08:00,220,0
J69,2020-10-01T01:21:45,2020-10-01T01:29:27+08:00,222,5
JM31,2020-10-01T01:22:35,2020-10-01T01:29:27+08:00,188,83
J62M,2020-10-01T01:22:53,2020-10-01T01:29:27+08:00,200,123
J63,2020-10-01T01:22:29,2020-10-01T01:29:27+08:00,150,1
J83M,2020-10-01T01:22:38,2020-10-01T01:29:27+08:00,121,3
J67,2020-10-01T01:21:45,2020-10-01T01:29:27+08:00,156,45
JM2,2020-10-01T01:21:41,2020-10-01T01:29:27+08:00,300,0
J70,2020-10-01T02:22:58,2020-10-01T02:29:27+08:00,147,15
J85M,2020-10-01T02:22:59,2020-10-01T02:29:27+08:00,269,89
J72,2020-10-01T02:22:33,2020-10-01T02:29:27+08:00,220,0
J69,2020-10-01T02:22:46,2020-10-01T02:29:27+08:00,222,9
JM31,2020-10-01T02:22:37,2020-10-01T02:29:27+08:00,188,82
J62M,2020-10-01T02:22:55,2020-10-01T02:29:27+08:00,200,123
J63,2020-10-01T02:22:31,2020-10-01T02:29:27+08:00,150,1
J83M,2020-10-01T02:22:40,2020-10-01T02:29:27+08:00,121,0
J67,2020-10-01T02:22:46,2020-10-01T02:29:27+08:00,156,65
JM2,2020-10-01T02:22:42,2020-10-01T02:29:27+08:00,300,0
J70,2020-10-01T03:24:56,2020-10-01T03:29:27+08:00,147,15
J85M,2020-10-01T03:24:49,2020-10-01T03:29:27+08:00,269,86
J72,2020-10-01T03:24:44,2020-10-01T03:29:27+08:00,220,0
J69,2020-10-01T03:23:22,2020-10-01T03:29:27+08:00,222,6
JM31,2020-10-01T03:24:46,2020-10-01T03:29:27+08:00,188,83
J62M,2020-10-01T03:24:37,2020-10-01T03:29:27+08:00,200,125
J63,2020-10-01T03:24:47,2020-10-01T03:29:27+08:00,150,1
J83M,2020-10-01T03:24:46,2020-10-01T03:29:27+08:00,121,0
J67,2020-10-01T03:23:21,2020-10-01T03:29:27+08:00,156,66
JM2,2020-10-01T03:23:13,2020-10-01T03:29:27+08:00,300,222
J70,2020-10-01T04:24:57,2020-10-01T04:29:27+08:00,147,16
J85M,2020-10-01T04:24:51,2020-10-01T04:29:27+08:00,269,86
J72,2020-10-01T04:24:45,2020-10-01T04:29:27+08:00,220,0
J69,2020-10-01T04:24:23,2020-10-01T04:29:27+08:00,222,6
JM31,2020-10-01T04:24:48,2020-10-01T04:29:27+08:00,188,84
J62M,2020-10-01T04:24:39,2020-10-01T04:29:27+08:00,200,125
J63,2020-10-01T04:24:49,2020-10-01T04:29:27+08:00,150,3
J83M,2020-10-01T04:24:48,2020-10-01T04:29:27+08:00,121,0
J67,2020-10-01T04:24:22,2020-10-01T04:29:27+08:00,156,65
JM2,2020-10-01T04:25:14,2020-10-01T04:29:27+08:00,300,221
J70,2020-10-01T05:24:59,2020-10-01T05:29:27+08:00,147,20
J85M,2020-10-01T05:24:53,2020-10-01T05:29:27+08:00,269,92
J72,2020-10-01T05:24:47,2020-10-01T05:29:27+08:00,220,0
J69,2020-10-01T05:25:24,2020-10-01T05:29:27+08:00,222,14
JM31,2020-10-01T05:24:50,2020-10-01T05:29:27+08:00,188,84
J62M,2020-10-01T05:25:10,2020-10-01T05:29:27+08:00,200,124
J63,2020-10-01T05:24:50,2020-10-01T05:29:27+08:00,150,7
J83M,2020-10-01T05:24:50,2020-10-01T05:29:27+08:00,121,2
J67,2020-10-01T05:25:23,2020-10-01T05:29:27+08:00,156,60
JM2,2020-10-01T05:24:45,2020-10-01T05:29:27+08:00,300,220
J70,2020-10-01T06:27:01,2020-10-01T06:29:27+08:00,147,29
J85M,2020-10-01T06:26:54,2020-10-01T06:29:27+08:00,269,98
J72,2020-10-01T06:26:49,2020-10-01T06:29:27+08:00,220,10
J69,2020-10-01T06:26:25,2020-10-01T06:29:27+08:00,222,24
JM31,2020-10-01T06:26:51,2020-10-01T06:29:27+08:00,188,82
J62M,2020-10-01T06:27:12,2020-10-01T06:29:27+08:00,200,131
J63,2020-10-01T06:26:52,2020-10-01T06:29:27+08:00,150,16
J83M,2020-10-01T06:26:52,2020-10-01T06:29:27+08:00,121,7
J67,2020-10-01T06:26:24,2020-10-01T06:29:27+08:00,156,61
JM2,2020-10-01T06:25:46,2020-10-01T06:29:27+08:00,300,203
J70,2020-10-01T07:27:03,2020-10-01T07:29:27+08:00,147,59
J85M,2020-10-01T07:26:56,2020-10-01T07:29:27+08:00,269,127
J72,2020-10-01T07:26:51,2020-10-01T07:29:27+08:00,220,57
J69,2020-10-01T07:27:26,2020-10-01T07:29:27+08:00,222,81
JM31,2020-10-01T07:26:53,2020-10-01T07:29:27+08:00,188,80
J62M,2020-10-01T07:27:14,2020-10-01T07:29:27+08:00,200,142
J63,2020-10-01T07:26:54,2020-10-01T07:29:27+08:00,150,50
J83M,2020-10-01T07:26:53,2020-10-01T07:29:27+08:00,121,33
J67,2020-10-01T07:27:25,2020-10-01T07:29:27+08:00,156,48
JM2,2020-10-01T07:26:46,2020-10-01T07:29:27+08:00,300,108
J70,2020-10-01T08:27:04,2020-10-01T08:29:27+08:00,147,75
J85M,2020-10-01T08:26:58,2020-10-01T08:29:27+08:00,269,148
J72,2020-10-01T08:27:23,2020-10-01T08:29:27+08:00,220,115
