carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2018-02-01T00:28:21,2018-02-01T00:29:27+08:00,151,0
J85M,2018-02-01T00:28:12,2018-02-01T00:29:27+08:00,217,91
J72,2018-02-01T00:28:38,2018-02-01T00:29:27+08:00,255,30
J69,2018-02-01T00:28:40,2018-02-01T00:29:27+08:00,222,222
JM31,2018-02-01T00:28:09,2018-02-01T00:29:27+08:00,180,119
J62M,2018-02-01T00:28:43,2018-02-01T00:29:27+08:00,222,138
J63,2018-02-01T00:28:42,2018-02-01T00:29:27+08:00,153,3
J83M,2018-02-01T00:28:13,2018-02-01T00:29:27+08:00,163,75
J67,2018-02-01T00:28:00,2018-02-01T00:29:27+08:00,156,48
JM2,2018-02-01T00:28:23,2018-02-01T00:29:27+08:00,300,0
J70,2018-02-01T01:28:21,2018-02-01T01:29:27+08:00,151,0
J85M,2018-02-01T01:28:12,2018-02-01T01:29:27+08:00,217,89
J72,2018-02-01T01:28:40,2018-02-01T01:29:27+08:00,255,29
J69,2018-02-01T01:28:42,2018-02-01T01:29:27+08:00,222,222
JM31,2018-02-01T01:28:10,2018-02-01T01:29:27+08:00,180,118
J62M,2018-02-01T01:27:44,2018-02-01T01:29:27+08:00,222,137
J63,2018-02-01T01:28:43,2018-02-01T01:29:27+08:00,153,0
J83M,2018-02-01T01:28:13,2018-02-01T01:29:27+08:00,163,77
J67,2018-02-01T01:28:01,2018-02-01T01:29:27+08:00,156,50
JM2,2018-02-01T01:28:23,2018-02-01T01:29:27+08:00,300,0
J70,2018-02-01T02:28:22,2018-02-01T02:29:27+08:00,151,0
J85M,2018-02-01T02:28:13,2018-02-01T02:29:27+08:00,217,89
J72,2018-02-01T02:28:12,2018-02-01T02:29:27+08:00,255,26
J69,2018-02-01T02:28:14,2018-02-01T02:29:27+08:00,222,222
JM31,2018-02-01T02:28:10,2018-02-01T02:29:27+08:00,180,116
J62M,2018-02-01T02:27:44,2018-02-01T02:29:27+08:00,222,136
J63,2018-02-01T02:27:44,2018-02-01T02:29:27+08:00,153,0
J83M,2018-02-01T02:28:14,2018-02-01T02:29:27+08:00,163,74
J67,2018-02-01T02:28:01,2018-02-01T02:29:27+08:00,156,52
JM2,2018-02-01T02:27:51,2018-02-01T02:29:27+08:00,300,0
J70,2018-02-01T03:28:04,2018-02-01T03:29:28+08:00,151,0
J85M,2018-02-01T03:28:03,2018-02-01T03:29:28+08:00,217,88
J72,2018-02-01T03:28:03,2018-02-01T03:29:28+08:00,255,28
J69,2018-02-01T03:28:05,2018-02-01T03:29:28+08:00,222,222
JM31,2018-02-01T03:27:59,2018-02-01T03:29:28+08:00,180,117
J62M,2018-02-01T03:27:26,2018-02-01T03:29:28+08:00,222,138
J63,2018-02-01T03:27:25,2018-02-01T03:29:28+08:00,153,0
J83M,2018-02-01T03:28:00,2018-02-01T03:29:28+08:00,163,75
J67,2018-02-01T03:27:42,2018-02-01T03:29:28+08:00,156,48
JM2,2018-02-01T03:28:51,2018-02-01T03:29:28+08:00,300,0
J70,2018-02-01T04:28:05,2018-02-01T04:29:27+08:00,151,0
J85M,2018-02-01T04:28:04,2018-02-01T04:29:27+08:00,217,214
J72,2018-02-01T04:29:05,2018-02-01T04:29:27+08:00,255,33
J69,2018-02-01T04:29:07,2018-02-01T04:29:27+08:00,222,222
JM31,2018-02-01T04:27:59,2018-02-01T04:29:27+08:00,180,116
J62M,2018-02-01T04:28:26,2018-02-01T04:29:27+08:00,222,138
J63,2018-02-01T04:28:26,2018-02-01T04:29:27+08:00,153,0
J83M,2018-02-01T04:28:01,2018-02-01T04:29:27+08:00,163,163
J67,2018-02-01T04:28:43,2018-02-01T04:29:27+08:00,156,52
JM2,2018-02-01T04:28:52,2018-02-01T04:29:27+08:00,300,0
J70,2018-02-01T05:28:06,2018-02-01T05:29:27+08:00,151,0
J85M,2018-02-01T05:28:04,2018-02-01T05:29:27+08:00,217,217
J72,2018-02-01T05:28:37,2018-02-01T05:29:27+08:00,255,34
J69,2018-02-01T05:28:44,2018-02-01T05:29:27+08:00,222,22
JM31,2018-02-01T05:28:00,2018-02-01T05:29:27+08:00,180,116
J62M,2018-02-01T05:28:27,2018-02-01T05:29:27+08:00,222,136
J63,2018-02-01T05:28:27,2018-02-01T05:29:27+08:00,153,0
J83M,2018-02-01T05:28:01,2018-02-01T05:29:27+08:00,163,163
J67,2018-02-01T05:28:44,2018-02-01T05:29:27+08:00,156,52
JM2,2018-02-01T05:28:33,2018-02-01T05:29:27+08:00,300,0
J70,2018-02-01T06:28:06,2018-02-01T06:29:27+08:00,151,0
J85M,2018-02-01T06:28:05,2018-02-01T06:29:27+08:00,217,217
J72,2018-02-01T06:28:38,2018-02-01T06:29:27+08:00,255,51
J69,2018-02-01T06:28:45,2018-02-01T06:29:27+08:00,222,43
JM31,2018-02-01T06:28:00,2018-02-01T06:29:27+08:00,180,115
J62M,2018-02-01T06:28:28,2018-02-01T06:29:27+08:00,222,138
J63,2018-02-01T06:28:27,2018-02-01T06:29:27+08:00,153,12
J83M,2018-02-01T06:28:02,2018-02-01T06:29:27+08:00,163,162
J67,2018-02-01T06:28:44,2018-02-01T06:29:27+08:00,156,45
JM2,2018-02-01T06:22:59,2018-02-01T06:29:27+08:00,300,0
J70,2018-02-01T07:28:07,2018-02-01T07:29:27+08:00,151,0
J85M,2018-02-01T07:28:05,2018-02-01T07:29:27+08:00,217,215
J72,2018-02-01T07:28:40,2018-02-01T07:29:27+08:00,255,117
J69,2018-02-01T07:28:12,2018-02-01T07:29:27+08:00,222,222
JM31,2018-02-01T07:28:01,2018-02-01T07:29:27+08:00,180,125
J62M,2018-02-01T07:28:29,2018-02-01T07:29:27+08:00,222,146
J63,2018-02-01T07:28:28,2018-02-01T07:29:27+08:00,153,47
J83M,2018-02-01T07:28:03,2018-02-01T07:29:27+08:00,163,163
J67,2018-02-01T07:27:45,2018-02-01T07:29:27+08:00,156,43
JM2,2018-02-01T07:28:20,2018-02-01T07:29:27+08:00,300,0
J70,2018-02-01T08:28:07,2018-02-01T08:29:27+08:00,151,6
J85M,2018-02-01T08:28:06,2018-02-01T08:29:27+08:00,217,217
J72,2018-02-01T08:28:12,2018-02-01T08:29:27+08:00,255,169
J69,2018-02-01T08:28:14,2018-02-01T08:29:27+08:00,222,222
JM31,2018-02-01T08:28:01,2018-02-01T08:29:27+08:00,180,140
J62M,2018-02-01T08:28:29,2018-02-01T08:29:27+08:00,222,154
J63,2018-02-01T08:28:29,2018-02-01T08:29:27+08:00,153,79
J83M,2018-02-01T08:28:03,2018-02-01T08:29:27+08:00,163,162
J67,2018-02-01T08:27:46,2018-02-01T08:29:27+08:00,156,43
JM2,2018-02-01T08:28:24,2018-02-01T08:29:27+08:00,300,0
J70,2018-02-01T09:28:08,2018-02-01T09:29:27+08:00,151,17
J85M,2018-02-01T09:28:06,2018-02-01T09:29:27+08:00,217,217
J72,2018-02-01T09:28:14,2018-02-01T09:29:27+08:00,255,182
J69,2018-02-01T09:28:16,2018-02-01T09:29:27+08:00,222,222
JM31,2018-02-01T09:28:02,2018-02-01T09:29:27+08:00,180,145
J62M,2018-02-01T09:27:30,2018-02-01T09:29:27+08:00,222,158
J63,2018-02-01T09:27:30,2018-02-01T09:29:27+08:00,153,84
J83M,2018-02-01T09:28:04,2018-02-01T09:29:27+08:00,163,162
J67,2018-02-01T09:27:47,2018-02-01T09:29:27+08:00,156,48
JM2,2018-02-01T09:28:53,2018-02-01T09:29:27+08:00,300,0
J70,2018-02-01T10:28:08,2018-02-01T10:29:28+08:00,151,22
J85M,2018-02-01T10:28:07,2018-02-01T10:29:28+08:00,217,216
J72,2018-02-01T10:28:46,2018-02-01T10:29:28+08:00,255,188
J69,2018-02-01T10:28:49,2018-02-01T10:29:28+08:00,222,159
JM31,2018-02-01T10:28:02,2018-02-01T10:29:28+08:00,180,144
J62M,2018-02-01T10:28:31,2018-02-01T10:29:28+08:00,222,162
J63,2018-02-01T10:28:31,2018-02-01T10:29:28+08:00,153,97
J83M,2018-02-01T10:28:04,2018-02-01T10:29:28+08:00,163,161
J67,2018-02-01T10:28:48,2018-02-01T10:29:28+08:00,156,44
JM2,2018-02-01T10:28:54,2018-02-01T10:29:28+08:00,300,0
J70,2018-02-01T11:28:09,2018-02-01T11:29:27+08:00,151,24
J85M,2018-02-01T11:28:07,2018-02-01T11:29:27+08:00,217,211
J72,2018-02-01T11:28:47,2018-02-01T11:29:27+08:00,255,202
J69,2018-02-01T11:28:49,2018-02-01T11:29:27+08:00,222,154
JM31,2018-02-01T11:28:02,2018-02-01T11:29:27+08:00,180,143
J62M,2018-02-01T11:28:32,2018-02-01T11:29:27+08:00,222,164
J63,2018-02-01T11:28:31,2018-02-01T11:29:27+08:00,153,91
J83M,2018-02-01T11:28:05,2018-02-01T11:29:27+08:00,163,162
J67,2018-02-01T11:28:49,2018-02-01T11:29:27+08:00,156,39
JM2,2018-02-01T11:28:54,2018-02-01T11:29:27+08:00,300,0
J70,2018-02-01T12:28:10,2018-02-01T12:29:27+08:00,151,22
J85M,2018-02-01T12:28:08,2018-02-01T12:29:27+08:00,217,210
J72,2018-02-01T12:28:49,2018-02-01T12:29:27+08:00,255,197
J69,2018-02-01T12:28:51,2018-02-01T12:29:27+08:00,222,222
JM31,2018-02-01T12:28:03,2018-02-01T12:29:27+08:00,180,84
J62M,2018-02-01T12:28:33,2018-02-01T12:29:27+08:00,222,165
J63,2018-02-01T12:28:32,2018-02-01T12:29:27+08:00,153,96
J83M,2018-02-01T12:28:05,2018-02-01T12:29:27+08:00,163,160
J67,2018-02-01T12:28:50,2018-02-01T12:29:27+08:00,156,19
JM2,2018-02-01T12:28:24,2018-02-01T12:29:27+08:00,300,0
J70,2018-02-01T13:28:10,2018-02-01T13:29:28+08:00,151,26
J85M,2018-02-01T13:28:08,2018-02-01T13:29:28+08:00,217,211
J72,2018-02-01T13:28:21,2018-02-01T13:29:28+08:00,255,179
J69,2018-02-01T13:28:23,2018-02-01T13:29:28+08:00,222,222
JM31,2018-02-01T13:28:03,2018-02-01T13:29:28+08:00,180,96
J62M,2018-02-01T13:28:33,2018-02-01T13:29:28+08:00,222,164
J63,2018-02-01T13:28:33,2018-02-01T13:29:28+08:00,153,90
J83M,2018-02-01T13:28:06,2018-02-01T13:29:28+08:00,163,160
J67,2018-02-01T13:27:51,2018-02-01T13:29:28+08:00,156,29
JM2,2018-02-01T13:28:25,2018-02-01T13:29:28+08:00,300,0
J70,2018-02-01T14:28:11,2018-02-01T14:29:27+08:00,151,21
J85M,2018-02-01T14:28:09,2018-02-01T14:29:27+08:00,217,210
J72,2018-02-01T14:28:23,2018-02-01T14:29:27+08:00,255,198
J69,2018-02-01T14:28:25,2018-02-01T14:29:27+08:00,222,222
JM31,2018-02-01T14:28:04,2018-02-01T14:29:27+08:00,180,136
J62M,2018-02-01T14:27:34,2018-02-01T14:29:27+08:00,222,170
J63,2018-02-01T14:27:34,2018-02-01T14:29:27+08:00,153,93
