carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2020-01-01T00:29:24,2020-01-01T00:29:27+08:00,147,31
J85M,2020-01-01T00:29:23,2020-01-01T00:29:27+08:00,269,0
J72,2020-01-01T00:29:25,2020-01-01T00:29:27+08:00,220,27
J69,2020-01-01T00:28:11,2020-01-01T00:29:27+08:00,222,65
JM31,2020-01-01T00:29:19,2020-01-01T00:29:27+08:00,180,38
J62M,2020-01-01T00:28:54,2020-01-01T00:29:27+08:00,222,28
J63,2020-01-01T00:28:54,2020-01-01T00:29:27+08:00,153,18
J83M,2020-01-01T00:29:12,2020-01-01T00:29:27+08:00,121,0
J67,2020-01-01T00:28:10,2020-01-01T00:29:27+08:00,156,69
JM2,2020-01-01T00:28:21,2020-01-01T00:29:27+08:00,300,0
J70,2020-01-01T01:29:26,2020-01-01T01:29:27+08:00,147,18
J85M,2020-01-01T01:29:25,2020-01-01T01:29:27+08:00,269,0
J72,2020-01-01T01:29:27,2020-01-01T01:29:27+08:00,220,6
J69,2020-01-01T01:28:12,2020-01-01T01:29:27+08:00,222,46
JM31,2020-01-01T01:29:21,2020-01-01T01:29:27+08:00,180,31
J62M,2020-01-01T01:27:55,2020-01-01T01:29:27+08:00,222,25
J63,2020-01-01T01:27:55,2020-01-01T01:29:27+08:00,153,12
J83M,2020-01-01T01:29:13,2020-01-01T01:29:27+08:00,121,0
J67,2020-01-01T01:28:11,2020-01-01T01:29:27+08:00,156,61
JM2,2020-01-01T01:28:21,2020-01-01T01:29:27+08:00,300,0
J70,2020-01-01T02:29:28,2020-01-01T02:29:27+08:00,147,10
J85M,2020-01-01T02:29:27,2020-01-01T02:29:27+08:00,269,0
J72,2020-01-01T02:29:28,2020-01-01T02:29:27+08:00,220,8
J69,2020-01-01T02:28:13,2020-01-01T02:29:27+08:00,222,37
JM31,2020-01-01T02:29:22,2020-01-01T02:29:27+08:00,180,26
J62M,2020-01-01T02:27:56,2020-01-01T02:29:27+08:00,222,19
J63,2020-01-01T02:27:55,2020-01-01T02:29:27+08:00,153,3
J83M,2020-01-01T02:29:45,2020-01-01T02:29:27+08:00,121,0
J67,2020-01-01T02:28:12,2020-01-01T02:29:27+08:00,156,77
JM2,2020-01-01T02:28:51,2020-01-01T02:29:27+08:00,300,0
J70,2020-01-01T03:29:27,2020-01-01T03:29:27+08:00,147,18
J85M,2020-01-01T03:29:47,2020-01-01T03:29:27+08:00,269,0
J72,2020-01-01T03:29:40,2020-01-01T03:29:27+08:00,220,0
J69,2020-01-01T03:28:59,2020-01-01T03:29:27+08:00,222,30
JM31,2020-01-01T03:29:45,2020-01-01T03:29:27+08:00,180,22
J62M,2020-01-01T03:28:35,2020-01-01T03:29:27+08:00,222,15
J63,2020-01-01T03:28:35,2020-01-01T03:29:27+08:00,153,0
J83M,2020-01-01T03:29:24,2020-01-01T03:29:27+08:00,121,0
J67,2020-01-01T03:28:58,2020-01-01T03:29:27+08:00,156,77
JM2,2020-01-01T03:28:51,2020-01-01T03:29:27+08:00,300,0
J70,2020-01-01T04:29:29,2020-01-01T04:29:27+08:00,147,17
J85M,2020-01-01T04:29:49,2020-01-01T04:29:27+08:00,269,0
J72,2020-01-01T04:29:42,2020-01-01T04:29:27+08:00,220,0
J69,2020-01-01T04:29:00,2020-01-01T04:29:27+08:00,222,25
JM31,2020-01-01T04:29:47,2020-01-01T04:29:27+08:00,180,22
J62M,2020-01-01T04:28:36,2020-01-01T04:29:27+08:00,222,13
J63,2020-01-01T04:28:36,2020-01-01T04:29:27+08:00,153,0
J83M,2020-01-01T04:29:26,2020-01-01T04:29:27+08:00,121,0
J67,2020-01-01T04:28:59,2020-01-01T04:29:27+08:00,156,71
JM2,2020-01-01T04:28:51,2020-01-01T04:29:27+08:00,300,0
J70,2020-01-01T05:29:31,2020-01-01T05:29:27+08:00,147,19
J85M,2020-01-01T05:29:51,2020-01-01T05:29:27+08:00,269,0
J72,2020-01-01T05:29:43,2020-01-01T05:29:27+08:00,220,0
J69,2020-01-01T05:29:00,2020-01-01T05:29:27+08:00,222,23
JM31,2020-01-01T05:29:48,2020-01-01T05:29:27+08:00,180,19
J62M,2020-01-01T05:28:37,2020-01-01T05:29:27+08:00,222,14
J63,2020-01-01T05:28:36,2020-01-01T05:29:27+08:00,153,0
J83M,2020-01-01T05:29:58,2020-01-01T05:29:27+08:00,121,0
J67,2020-01-01T05:29:00,2020-01-01T05:29:27+08:00,156,68
JM2,2020-01-01T05:28:22,2020-01-01T05:29:27+08:00,300,0
J70,2020-01-01T06:30:02,2020-01-01T06:29:27+08:00,147,20
J85M,2020-01-01T06:29:53,2020-01-01T06:29:27+08:00,269,0
J72,2020-01-01T06:29:45,2020-01-01T06:29:27+08:00,220,0
J69,2020-01-01T06:28:01,2020-01-01T06:29:27+08:00,222,29
JM31,2020-01-01T06:29:50,2020-01-01T06:29:27+08:00,180,21
J62M,2020-01-01T06:28:38,2020-01-01T06:29:27+08:00,222,14
J63,2020-01-01T06:28:37,2020-01-01T06:29:27+08:00,153,0
J83M,2020-01-01T06:30:00,2020-01-01T06:29:27+08:00,121,0
J67,2020-01-01T06:29:00,2020-01-01T06:29:27+08:00,156,63
JM2,2020-01-01T06:28:22,2020-01-01T06:29:27+08:00,300,0
J70,2020-01-01T07:30:04,2020-01-01T07:29:27+08:00,147,23
J85M,2020-01-01T07:29:54,2020-01-01T07:29:27+08:00,269,0
J72,2020-01-01T07:29:47,2020-01-01T07:29:27+08:00,220,0
