carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2021-04-01T00:15:48,2021-04-01T00:29:27+08:00,147,13
J85M,2021-04-01T00:15:34,2021-04-01T00:29:27+08:00,269,98
J72,2021-04-01T00:15:33,2021-04-01T00:29:27+08:00,220,0
J69,2021-04-01T00:16:17,2021-04-01T00:29:27+08:00,222,5
JM31,2021-04-01T00:15:55,2021-04-01T00:29:27+08:00,188,120
J62M,2021-04-01T00:15:31,2021-04-01T00:29:27+08:00,200,140
J63,2021-04-01T00:15:39,2021-04-01T00:29:27+08:00,150,8
J83M,2021-04-01T00:15:40,2021-04-01T00:29:27+08:00,121,0
J67,2021-04-01T00:16:16,2021-04-01T00:29:27+08:00,156,60
JM2,2021-04-01T00:15:51,2021-04-01T00:29:27+08:00,300,0
J70,2021-04-01T01:17:50,2021-04-01T01:29:27+08:00,147,14
J85M,2021-04-01T01:17:36,2021-04-01T01:29:27+08:00,269,93
J72,2021-04-01T01:17:35,2021-04-01T01:29:27+08:00,220,0
J69,2021-04-01T01:17:18,2021-04-01T01:29:27+08:00,222,4
JM31,2021-04-01T01:17:57,2021-04-01T01:29:27+08:00,188,120
J62M,2021-04-01T01:17:33,2021-04-01T01:29:27+08:00,200,138
J63,2021-04-01T01:17:41,2021-04-01T01:29:27+08:00,150,8
J83M,2021-04-01T01:17:42,2021-04-01T01:29:27+08:00,121,0
J67,2021-04-01T01:17:17,2021-04-01T01:29:27+08:00,156,50
JM2,2021-04-01T01:16:52,2021-04-01T01:29:27+08:00,300,0
J70,2021-04-01T02:17:52,2021-04-01T02:29:27+08:00,147,14
J85M,2021-04-01T02:17:38,2021-04-01T02:29:27+08:00,269,92
J72,2021-04-01T02:17:37,2021-04-01T02:29:27+08:00,220,0
J69,2021-04-01T02:19:19,2021-04-01T02:29:27+08:00,222,6
JM31,2021-04-01T02:17:58,2021-04-01T02:29:27+08:00,188,119
J62M,2021-04-01T02:18:05,2021-04-01T02:29:27+08:00,200,135
J63,2021-04-01T02:17:43,2021-04-01T02:29:27+08:00,150,5
J83M,2021-04-01T02:17:44,2021-04-01T02:29:27+08:00,121,0
J67,2021-04-01T02:19:18,2021-04-01T02:29:27+08:00,156,47
JM2,2021-04-01T02:17:52,2021-04-01T02:29:27+08:00,300,0
J70,2021-04-01T03:19:55,2021-04-01T03:29:27+08:00,147,15
J85M,2021-04-01T03:19:54,2021-04-01T03:29:27+08:00,269,89
J72,2021-04-01T03:19:44,2021-04-01T03:29:27+08:00,220,0
J69,2021-04-01T03:20:10,2021-04-01T03:29:27+08:00,222,5
JM31,2021-04-01T03:19:55,2021-04-01T03:29:27+08:00,188,119
J62M,2021-04-01T03:19:44,2021-04-01T03:29:27+08:00,200,138
J63,2021-04-01T03:19:49,2021-04-01T03:29:27+08:00,150,5
J83M,2021-04-01T03:19:46,2021-04-01T03:29:27+08:00,121,0
J67,2021-04-01T03:20:10,2021-04-01T03:29:27+08:00,156,54
JM2,2021-04-01T03:18:22,2021-04-01T03:29:27+08:00,300,213
J70,2021-04-01T04:19:56,2021-04-01T04:29:27+08:00,147,16
J85M,2021-04-01T04:19:56,2021-04-01T04:29:27+08:00,269,93
J72,2021-04-01T04:19:46,2021-04-01T04:29:27+08:00,220,0
J69,2021-04-01T04:20:12,2021-04-01T04:29:27+08:00,222,2
JM31,2021-04-01T04:19:57,2021-04-01T04:29:27+08:00,188,118
J62M,2021-04-01T04:19:46,2021-04-01T04:29:27+08:00,200,138
J63,2021-04-01T04:19:51,2021-04-01T04:29:27+08:00,150,6
J83M,2021-04-01T04:19:48,2021-04-01T04:29:27+08:00,121,0
J67,2021-04-01T04:20:11,2021-04-01T04:29:27+08:00,156,53
JM2,2021-04-01T04:19:40,2021-04-01T04:29:27+08:00,300,211
J70,2021-04-01T05:21:58,2021-04-01T05:29:26+08:00,147,18
J85M,2021-04-01T05:21:57,2021-04-01T05:29:26+08:00,269,94
J72,2021-04-01T05:21:48,2021-04-01T05:29:26+08:00,220,0
J69,2021-04-01T05:21:12,2021-04-01T05:29:26+08:00,222,2
JM31,2021-04-01T05:21:59,2021-04-01T05:29:26+08:00,188,118
J62M,2021-04-01T05:21:48,2021-04-01T05:29:26+08:00,200,136
J63,2021-04-01T05:21:53,2021-04-01T05:29:26+08:00,150,11
J83M,2021-04-01T05:21:49,2021-04-01T05:29:26+08:00,121,0
J67,2021-04-01T05:21:11,2021-04-01T05:29:26+08:00,156,51
JM2,2021-04-01T05:21:11,2021-04-01T05:29:26+08:00,300,205
J70,2021-04-01T06:22:00,2021-04-01T06:29:27+08:00,147,26
J85M,2021-04-01T06:21:59,2021-04-01T06:29:27+08:00,269,105
J72,2021-04-01T06:22:20,2021-04-01T06:29:27+08:00,220,13
J69,2021-04-01T06:22:13,2021-04-01T06:29:27+08:00,222,17
JM31,2021-04-01T06:22:01,2021-04-01T06:29:27+08:00,188,117
J62M,2021-04-01T06:22:20,2021-04-01T06:29:27+08:00,200,139
J63,2021-04-01T06:21:54,2021-04-01T06:29:27+08:00,150,17
J83M,2021-04-01T06:21:51,2021-04-01T06:29:27+08:00,121,0
J67,2021-04-01T06:22:12,2021-04-01T06:29:27+08:00,156,47
JM2,2021-04-01T06:22:12,2021-04-01T06:29:27+08:00,300,188
J70,2021-04-01T07:24:02,2021-04-01T07:29:27+08:00,147,65
J85M,2021-04-01T07:24:01,2021-04-01T07:29:27+08:00,269,143
J72,2021-04-01T07:24:22,2021-04-01T07:29:27+08:00,220,66
J69,2021-04-01T07:23:14,2021-04-01T07:29:27+08:00,222,75
JM31,2021-04-01T07:24:02,2021-04-01T07:29:27+08:00,188,126
J62M,2021-04-01T07:24:22,2021-04-01T07:29:27+08:00,200,147
J63,2021-04-01T07:23:56,2021-04-01T07:29:27+08:00,150,44
J83M,2021-04-01T07:24:23,2021-04-01T07:29:27+08:00,121,25
J67,2021-04-01T07:23:13,2021-04-01T07:29:27+08:00,156,55
JM2,2021-04-01T07:23:12,2021-04-01T07:29:27+08:00,300,108
J70,2021-04-01T08:24:03,2021-04-01T08:29:27+08:00,147,80
J85M,2021-04-01T08:24:03,2021-04-01T08:29:27+08:00,269,171
J72,2021-04-01T08:24:23,2021-04-01T08:29:27+08:00,220,102
J69,2021-04-01T08:24:15,2021-04-01T08:29:27+08:00,222,106
JM31,2021-04-01T08:24:04,2021-04-01T08:29:27+08:00,188,123
J62M,2021-04-01T08:24:23,2021-04-01T08:29:27+08:00,200,155
J63,2021-04-01T08:23:58,2021-04-01T08:29:27+08:00,150,67
J83M,2021-04-01T08:24:25,2021-04-01T08:29:27+08:00,121,55
J67,2021-04-01T08:24:14,2021-04-01T08:29:27+08:00,156,64
JM2,2021-04-01T08:23:43,2021-04-01T08:29:27+08:00,300,56
J70,2021-04-01T09:24:05,2021-04-01T09:29:27+08:00,147,61
J85M,2021-04-01T09:24:04,2021-04-01T09:29:27+08:00,269,193
J72,2021-04-01T09:24:25,2021-04-01T09:29:27+08:00,220,104
J69,2021-04-01T09:26:16,2021-04-01T09:29:27+08:00,222,129
JM31,2021-04-01T09:24:06,2021-04-01T09:29:27+08:00,188,138
J62M,2021-04-01T09:24:25,2021-04-01T09:29:27+08:00,200,163
J63,2021-04-01T09:24:30,2021-04-01T09:29:27+08:00,150,82
