carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2019-12-01T00:28:24,2019-12-01T00:29:27+08:00,147,21
J85M,2019-12-01T00:28:21,2019-12-01T00:29:27+08:00,269,50
J72,2019-12-01T00:28:36,2019-12-01T00:29:27+08:00,255,27
J69,2019-12-01T00:27:57,2019-12-01T00:29:27+08:00,222,36
JM31,2019-12-01T00:28:23,2019-12-01T00:29:27+08:00,180,102
J62M,2019-12-01T00:28:39,2019-12-01T00:29:27+08:00,222,43
J63,2019-12-01T00:28:38,2019-12-01T00:29:27+08:00,153,43
J83M,2019-12-01T00:28:36,2019-12-01T00:29:27+08:00,121,5
J67,2019-12-01T00:27:56,2019-12-01T00:29:27+08:00,156,66
JM2,2019-12-01T00:28:16,2019-12-01T00:29:27+08:00,300,0
J70,2019-12-01T01:28:25,2019-12-01T01:29:27+08:00,147,15
J85M,2019-12-01T01:28:22,2019-12-01T01:29:27+08:00,269,49
J72,2019-12-01T01:28:32,2019-12-01T01:29:27+08:00,255,22
J69,2019-12-01T01:27:58,2019-12-01T01:29:27+08:00,222,27
JM31,2019-12-01T01:28:25,2019-12-01T01:29:27+08:00,180,104
J62M,2019-12-01T01:28:40,2019-12-01T01:29:27+08:00,222,39
J63,2019-12-01T01:28:39,2019-12-01T01:29:27+08:00,153,32
J83M,2019-12-01T01:28:38,2019-12-01T01:29:27+08:00,121,2
J67,2019-12-01T01:27:58,2019-12-01T01:29:27+08:00,156,63
JM2,2019-12-01T01:28:17,2019-12-01T01:29:27+08:00,300,0
J70,2019-12-01T02:28:27,2019-12-01T02:29:27+08:00,147,15
J85M,2019-12-01T02:28:54,2019-12-01T02:29:27+08:00,269,42
J72,2019-12-01T01:47:03,2019-12-01T02:29:27+08:00,255,21
J69,2019-12-01T02:27:59,2019-12-01T02:29:27+08:00,222,26
JM31,2019-12-01T02:28:26,2019-12-01T02:29:27+08:00,180,104
J62M,2019-12-01T02:27:40,2019-12-01T02:29:27+08:00,222,37
J63,2019-12-01T02:27:40,2019-12-01T02:29:27+08:00,153,30
J83M,2019-12-01T02:28:39,2019-12-01T02:29:27+08:00,121,0
J67,2019-12-01T02:27:58,2019-12-01T02:29:27+08:00,156,71
JM2,2019-12-01T02:28:17,2019-12-01T02:29:27+08:00,300,0
J70,2019-12-01T03:28:43,2019-12-01T03:29:27+08:00,147,15
J85M,2019-12-01T03:28:37,2019-12-01T03:29:27+08:00,269,40
J72,2019-12-01T01:47:03,2019-12-01T03:29:27+08:00,255,21
J69,2019-12-01T03:27:41,2019-12-01T03:29:27+08:00,222,15
JM31,2019-12-01T03:28:33,2019-12-01T03:29:27+08:00,180,105
J62M,2019-12-01T03:28:20,2019-12-01T03:29:27+08:00,222,36
J63,2019-12-01T03:28:20,2019-12-01T03:29:27+08:00,153,28
J83M,2019-12-01T03:28:34,2019-12-01T03:29:27+08:00,121,0
J67,2019-12-01T03:27:40,2019-12-01T03:29:27+08:00,156,72
JM2,2019-12-01T03:28:47,2019-12-01T03:29:27+08:00,300,0
J70,2019-12-01T04:28:45,2019-12-01T04:29:27+08:00,147,12
J85M,2019-12-01T04:28:39,2019-12-01T04:29:27+08:00,269,38
J72,2019-12-01T01:47:03,2019-12-01T04:29:27+08:00,255,21
J69,2019-12-01T04:28:41,2019-12-01T04:29:27+08:00,222,8
JM31,2019-12-01T04:28:35,2019-12-01T04:29:27+08:00,180,105
J62M,2019-12-01T04:28:21,2019-12-01T04:29:27+08:00,222,36
J63,2019-12-01T04:28:21,2019-12-01T04:29:27+08:00,153,26
J83M,2019-12-01T04:28:36,2019-12-01T04:29:27+08:00,121,0
J67,2019-12-01T04:28:40,2019-12-01T04:29:27+08:00,156,71
JM2,2019-12-01T04:28:47,2019-12-01T04:29:27+08:00,300,0
J70,2019-12-01T05:28:47,2019-12-01T05:29:27+08:00,147,18
J85M,2019-12-01T05:28:41,2019-12-01T05:29:27+08:00,269,40
J72,2019-12-01T01:47:03,2019-12-01T05:29:27+08:00,255,21
J69,2019-12-01T05:28:42,2019-12-01T05:29:27+08:00,222,8
JM31,2019-12-01T05:29:06,2019-12-01T05:29:27+08:00,180,105
J62M,2019-12-01T05:28:22,2019-12-01T05:29:27+08:00,222,36
J63,2019-12-01T05:28:22,2019-12-01T05:29:27+08:00,153,25
J83M,2019-12-01T05:28:37,2019-12-01T05:29:27+08:00,121,0
J67,2019-12-01T05:28:41,2019-12-01T05:29:27+08:00,156,65
JM2,2019-12-01T05:28:47,2019-12-01T05:29:27+08:00,300,0
J70,2019-12-01T06:28:49,2019-12-01T06:29:27+08:00,147,18
J85M,2019-12-01T06:28:42,2019-12-01T06:29:27+08:00,269,44
J72,2019-12-01T01:47:03,2019-12-01T06:29:27+08:00,255,21
J69,2019-12-01T06:28:43,2019-12-01T06:29:27+08:00,222,16
JM31,2019-12-01T06:29:08,2019-12-01T06:29:27+08:00,180,105
J62M,2019-12-01T06:28:23,2019-12-01T06:29:27+08:00,222,36
J63,2019-12-01T06:28:22,2019-12-01T06:29:27+08:00,153,31
J83M,2019-12-01T06:29:09,2019-12-01T06:29:27+08:00,121,0
J67,2019-12-01T06:28:42,2019-12-01T06:29:27+08:00,156,59
JM2,2019-12-01T06:28:18,2019-12-01T06:29:27+08:00,300,0
J70,2019-12-01T07:28:50,2019-12-01T07:29:27+08:00,147,25
J85M,2019-12-01T07:29:14,2019-12-01T07:29:27+08:00,269,52
J72,2019-12-01T01:47:03,2019-12-01T07:29:27+08:00,255,21
J69,2019-12-01T07:27:44,2019-12-01T07:29:27+08:00,222,34
JM31,2019-12-01T07:29:10,2019-12-01T07:29:27+08:00,180,103
J62M,2019-12-01T07:28:23,2019-12-01T07:29:27+08:00,222,41
J63,2019-12-01T07:28:23,2019-12-01T07:29:27+08:00,153,36
J83M,2019-12-01T07:29:11,2019-12-01T07:29:27+08:00,121,8
J67,2019-12-01T07:27:43,2019-12-01T07:29:27+08:00,156,52
JM2,2019-12-01T07:28:17,2019-12-01T07:29:27+08:00,300,0
J70,2019-12-01T08:28:52,2019-12-01T08:29:27+08:00,147,36
J85M,2019-12-01T08:29:16,2019-12-01T08:29:27+08:00,269,59
J72,2019-12-01T01:47:03,2019-12-01T08:29:27+08:00,255,21
