carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2019-10-01T00:28:59,2019-10-01T00:29:58+08:00,147,10
J85M,2019-10-01T00:28:46,2019-10-01T00:29:58+08:00,269,89
J72,2019-10-01T00:28:37,2019-10-01T00:29:58+08:00,255,47
J69,2019-10-01T00:28:57,2019-10-01T00:29:58+08:00,222,68
JM31,2019-10-01T00:28:51,2019-10-01T00:29:58+08:00,200,31
J62M,2019-10-01T00:28:37,2019-10-01T00:29:58+08:00,222,44
J63,2019-10-01T00:28:37,2019-10-01T00:29:58+08:00,153,0
J83M,2019-10-01T00:28:48,2019-10-01T00:29:58+08:00,121,0
J67,2019-10-01T00:28:57,2019-10-01T00:29:58+08:00,156,0
JM2,2019-10-01T00:28:32,2019-10-01T00:29:58+08:00,300,0
J70,2019-10-01T01:29:00,2019-10-01T01:29:27+08:00,147,18
J85M,2019-10-01T01:28:48,2019-10-01T01:29:27+08:00,269,85
J72,2019-10-01T01:28:39,2019-10-01T01:29:27+08:00,255,44
J69,2019-10-01T01:27:59,2019-10-01T01:29:27+08:00,222,64
JM31,2019-10-01T01:28:53,2019-10-01T01:29:27+08:00,200,31
J62M,2019-10-01T01:28:38,2019-10-01T01:29:27+08:00,222,43
J63,2019-10-01T01:28:38,2019-10-01T01:29:27+08:00,153,0
J83M,2019-10-01T01:28:50,2019-10-01T01:29:27+08:00,121,0
J67,2019-10-01T01:27:58,2019-10-01T01:29:27+08:00,156,0
JM2,2019-10-01T01:28:32,2019-10-01T01:29:27+08:00,300,0
J70,2019-10-01T02:29:02,2019-10-01T02:29:27+08:00,147,13
J85M,2019-10-01T02:28:49,2019-10-01T02:29:27+08:00,269,84
J72,2019-10-01T02:28:41,2019-10-01T02:29:27+08:00,255,41
J69,2019-10-01T02:27:59,2019-10-01T02:29:27+08:00,222,61
JM31,2019-10-01T02:28:55,2019-10-01T02:29:27+08:00,200,30
J62M,2019-10-01T02:28:39,2019-10-01T02:29:27+08:00,222,42
J63,2019-10-01T02:28:38,2019-10-01T02:29:27+08:00,153,0
J83M,2019-10-01T02:28:52,2019-10-01T02:29:27+08:00,121,0
J67,2019-10-01T02:27:58,2019-10-01T02:29:27+08:00,156,0
JM2,2019-10-01T02:28:05,2019-10-01T02:29:27+08:00,300,0
J70,2019-10-01T03:28:57,2019-10-01T03:29:27+08:00,147,13
J85M,2019-10-01T03:29:09,2019-10-01T03:29:27+08:00,269,81
J72,2019-10-01T03:28:27,2019-10-01T03:29:27+08:00,255,43
J69,2019-10-01T03:27:40,2019-10-01T03:29:27+08:00,222,58
JM31,2019-10-01T03:28:42,2019-10-01T03:29:27+08:00,200,29
J62M,2019-10-01T03:28:20,2019-10-01T03:29:27+08:00,222,38
J63,2019-10-01T03:28:19,2019-10-01T03:29:27+08:00,153,0
J83M,2019-10-01T03:28:46,2019-10-01T03:29:27+08:00,121,0
J67,2019-10-01T03:27:39,2019-10-01T03:29:27+08:00,156,0
JM2,2019-10-01T03:28:34,2019-10-01T03:29:27+08:00,300,0
J70,2019-10-01T04:28:59,2019-10-01T04:29:27+08:00,147,16
J85M,2019-10-01T04:29:10,2019-10-01T04:29:27+08:00,269,80
J72,2019-10-01T04:27:59,2019-10-01T04:29:27+08:00,255,30
J69,2019-10-01T04:27:41,2019-10-01T04:29:27+08:00,222,55
JM31,2019-10-01T04:29:14,2019-10-01T04:29:27+08:00,200,30
J62M,2019-10-01T04:28:21,2019-10-01T04:29:27+08:00,222,37
J63,2019-10-01T04:28:20,2019-10-01T04:29:27+08:00,153,0
J83M,2019-10-01T04:28:48,2019-10-01T04:29:27+08:00,121,0
J67,2019-10-01T04:27:40,2019-10-01T04:29:27+08:00,156,0
JM2,2019-10-01T04:28:32,2019-10-01T04:29:27+08:00,300,0
J70,2019-10-01T05:29:01,2019-10-01T05:29:27+08:00,147,18
J85M,2019-10-01T05:29:12,2019-10-01T05:29:27+08:00,269,82
J72,2019-10-01T05:29:01,2019-10-01T05:29:27+08:00,255,38
J69,2019-10-01T05:28:42,2019-10-01T05:29:27+08:00,222,58
JM31,2019-10-01T05:29:16,2019-10-01T05:29:27+08:00,200,33
J62M,2019-10-01T05:28:21,2019-10-01T05:29:27+08:00,222,38
J63,2019-10-01T05:28:21,2019-10-01T05:29:27+08:00,153,0
J83M,2019-10-01T05:28:50,2019-10-01T05:29:27+08:00,121,0
J67,2019-10-01T05:28:41,2019-10-01T05:29:27+08:00,156,0
JM2,2019-10-01T05:27:32,2019-10-01T05:29:27+08:00,300,0
J70,2019-10-01T06:29:02,2019-10-01T06:29:27+08:00,147,28
J85M,2019-10-01T06:29:14,2019-10-01T06:29:27+08:00,269,92
J72,2019-10-01T06:29:03,2019-10-01T06:29:27+08:00,255,53
J69,2019-10-01T06:28:43,2019-10-01T06:29:27+08:00,222,80
JM31,2019-10-01T06:29:18,2019-10-01T06:29:27+08:00,200,33
J62M,2019-10-01T06:28:22,2019-10-01T06:29:27+08:00,222,40
J63,2019-10-01T06:28:22,2019-10-01T06:29:27+08:00,153,3
