carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2021-06-01T00:16:48,2021-06-01T00:29:26+08:00,147,0
J85M,2021-06-01T00:16:59,2021-06-01T00:29:26+08:00,269,90
J72,2021-06-01T00:16:57,2021-06-01T00:29:26+08:00,220,0
J69,2021-06-01T00:15:16,2021-06-01T00:29:26+08:00,222,15
JM31,2021-06-01T00:16:49,2021-06-01T00:29:26+08:00,188,122
J62M,2021-06-01T00:16:56,2021-06-01T00:29:26+08:00,200,131
J63,2021-06-01T00:17:09,2021-06-01T00:29:26+08:00,150,0
J83M,2021-06-01T00:16:54,2021-06-01T00:29:26+08:00,121,0
J67,2021-06-01T00:15:15,2021-06-01T00:29:26+08:00,156,49
JM2,2021-06-01T00:15:59,2021-06-01T00:29:26+08:00,300,150
J70,2021-06-01T01:16:49,2021-06-01T01:29:26+08:00,147,0
J85M,2021-06-01T01:17:00,2021-06-01T01:29:26+08:00,269,90
J72,2021-06-01T01:16:58,2021-06-01T01:29:26+08:00,220,0
J69,2021-06-01T01:16:17,2021-06-01T01:29:26+08:00,222,10
JM31,2021-06-01T01:16:51,2021-06-01T01:29:26+08:00,188,122
J62M,2021-06-01T01:16:58,2021-06-01T01:29:26+08:00,200,130
J63,2021-06-01T01:17:11,2021-06-01T01:29:26+08:00,150,0
J83M,2021-06-01T01:16:55,2021-06-01T01:29:26+08:00,121,0
J67,2021-06-01T01:16:16,2021-06-01T01:29:26+08:00,156,48
JM2,2021-06-01T01:16:29,2021-06-01T01:29:26+08:00,300,153
J70,2021-06-01T02:17:21,2021-06-01T02:29:27+08:00,147,0
J85M,2021-06-01T02:17:02,2021-06-01T02:29:27+08:00,269,86
J72,2021-06-01T02:17:30,2021-06-01T02:29:27+08:00,220,0
J69,2021-06-01T02:17:18,2021-06-01T02:29:27+08:00,222,12
JM31,2021-06-01T02:17:23,2021-06-01T02:29:27+08:00,188,121
J62M,2021-06-01T02:17:30,2021-06-01T02:29:27+08:00,200,129
J63,2021-06-01T02:17:13,2021-06-01T02:29:27+08:00,150,0
J83M,2021-06-01T02:17:27,2021-06-01T02:29:27+08:00,121,0
J67,2021-06-01T02:17:17,2021-06-01T02:29:27+08:00,156,54
JM2,2021-06-01T02:17:30,2021-06-01T02:29:27+08:00,300,149
J70,2021-06-01T02:49:21,2021-06-01T03:19:27+08:00,147,0
J85M,2021-06-01T02:49:03,2021-06-01T03:19:27+08:00,269,86
J72,2021-06-01T02:49:31,2021-06-01T03:19:27+08:00,220,0
J69,2021-06-01T02:48:18,2021-06-01T03:19:27+08:00,222,11
JM31,2021-06-01T02:49:23,2021-06-01T03:19:27+08:00,188,122
J62M,2021-06-01T02:49:31,2021-06-01T03:19:27+08:00,200,128
J63,2021-06-01T02:49:14,2021-06-01T03:19:27+08:00,150,0
J83M,2021-06-01T02:49:28,2021-06-01T03:19:27+08:00,121,0
J67,2021-06-01T02:48:18,2021-06-01T03:19:27+08:00,156,56
JM2,2021-06-01T02:49:00,2021-06-01T03:19:27+08:00,300,151
J70,2021-06-01T04:20:20,2021-06-01T04:29:27+08:00,147,0
J85M,2021-06-01T04:20:46,2021-06-01T04:29:27+08:00,269,89
J72,2021-06-01T04:20:46,2021-06-01T04:29:27+08:00,220,0
J69,2021-06-01T04:20:09,2021-06-01T04:29:27+08:00,222,9
JM31,2021-06-01T04:20:44,2021-06-01T04:29:27+08:00,188,122
J62M,2021-06-01T04:20:47,2021-06-01T04:29:27+08:00,200,128
J63,2021-06-01T04:20:47,2021-06-01T04:29:27+08:00,150,0
J83M,2021-06-01T04:20:40,2021-06-01T04:29:27+08:00,121,0
J67,2021-06-01T04:20:08,2021-06-01T04:29:27+08:00,156,54
JM2,2021-06-01T04:20:01,2021-06-01T04:29:27+08:00,300,205
J70,2021-06-01T05:22:52,2021-06-01T05:29:27+08:00,147,0
J85M,2021-06-01T05:22:47,2021-06-01T05:29:27+08:00,269,93
J72,2021-06-01T05:22:48,2021-06-01T05:29:27+08:00,220,5
J69,2021-06-01T05:20:10,2021-06-01T05:29:27+08:00,222,13
JM31,2021-06-01T05:22:46,2021-06-01T05:29:27+08:00,188,122
J62M,2021-06-01T05:22:49,2021-06-01T05:29:27+08:00,200,129
J63,2021-06-01T05:22:48,2021-06-01T05:29:27+08:00,150,0
J83M,2021-06-01T05:22:42,2021-06-01T05:29:27+08:00,121,0
J67,2021-06-01T05:20:09,2021-06-01T05:29:27+08:00,156,53
JM2,2021-06-01T05:21:02,2021-06-01T05:29:27+08:00,300,207
J70,2021-06-01T06:22:54,2021-06-01T06:29:27+08:00,147,4
J85M,2021-06-01T06:22:49,2021-06-01T06:29:27+08:00,269,100
J72,2021-06-01T06:22:50,2021-06-01T06:29:27+08:00,220,11
J69,2021-06-01T06:21:11,2021-06-01T06:29:27+08:00,222,26
JM31,2021-06-01T06:22:48,2021-06-01T06:29:27+08:00,188,120
J62M,2021-06-01T06:22:51,2021-06-01T06:29:27+08:00,200,131
J63,2021-06-01T06:22:51,2021-06-01T06:29:27+08:00,150,3
J83M,2021-06-01T06:22:44,2021-06-01T06:29:27+08:00,121,4
J67,2021-06-01T06:21:10,2021-06-01T06:29:27+08:00,156,54
JM2,2021-06-01T06:22:03,2021-06-01T06:29:27+08:00,300,192
J70,2021-06-01T07:22:56,2021-06-01T07:29:27+08:00,147,30
J85M,2021-06-01T07:22:51,2021-06-01T07:29:27+08:00,269,129
J72,2021-06-01T07:22:52,2021-06-01T07:29:27+08:00,220,54
J69,2021-06-01T07:22:12,2021-06-01T07:29:27+08:00,222,61
JM31,2021-06-01T07:22:49,2021-06-01T07:29:27+08:00,188,120
J62M,2021-06-01T07:22:53,2021-06-01T07:29:27+08:00,200,135
J63,2021-06-01T07:22:52,2021-06-01T07:29:27+08:00,150,28
J83M,2021-06-01T07:22:46,2021-06-01T07:29:27+08:00,121,25
J67,2021-06-01T07:22:11,2021-06-01T07:29:27+08:00,156,52
JM2,2021-06-01T07:22:34,2021-06-01T07:29:27+08:00,300,145
J70,2021-06-01T08:24:58,2021-06-01T08:29:27+08:00,147,53
J85M,2021-06-01T08:24:53,2021-06-01T08:29:27+08:00,269,154
J72,2021-06-01T08:24:54,2021-06-01T08:29:27+08:00,220,97
J69,2021-06-01T08:24:12,2021-06-01T08:29:27+08:00,222,104
JM31,2021-06-01T08:24:51,2021-06-01T08:29:27+08:00,188,126
J62M,2021-06-01T08:24:54,2021-06-01T08:29:27+08:00,200,145
J63,2021-06-01T08:24:54,2021-06-01T08:29:27+08:00,150,53
J83M,2021-06-01T08:24:48,2021-06-01T08:29:27+08:00,121,56
J67,2021-06-01T08:24:12,2021-06-01T08:29:27+08:00,156,58
JM2,2021-06-01T08:24:36,2021-06-01T08:29:27+08:00,300,85
J70,2021-06-01T09:25:00,2021-06-01T09:29:27+08:00,147,58
J85M,2021-06-01T09:24:55,2021-06-01T09:29:27+08:00,269,169
J72,2021-06-01T09:24:55,2021-06-01T09:29:27+08:00,220,104
J69,2021-06-01T09:25:13,2021-06-01T09:29:27+08:00,222,128
JM31,2021-06-01T09:24:53,2021-06-01T09:29:27+08:00,188,134
J62M,2021-06-01T09:24:56,2021-06-01T09:29:27+08:00,200,155
J63,2021-06-01T09:24:56,2021-06-01T09:29:27+08:00,150,63
J83M,2021-06-01T09:24:49,2021-06-01T09:29:27+08:00,121,54
J67,2021-06-01T09:25:13,2021-06-01T09:29:27+08:00,156,67
JM2,2021-06-01T09:24:07,2021-06-01T09:29:27+08:00,300,96
J70,2021-06-01T10:21:01,2021-06-01T10:29:26+08:00,147,67
J85M,2021-06-01T10:20:56,2021-06-01T10:29:26+08:00,269,171
J72,2021-06-01T10:20:57,2021-06-01T10:29:26+08:00,220,110
J69,2021-06-01T10:20:14,2021-06-01T10:29:26+08:00,222,136
JM31,2021-06-01T10:20:55,2021-06-01T10:29:26+08:00,188,128
J62M,2021-06-01T10:20:58,2021-06-01T10:29:26+08:00,200,160
J63,2021-06-01T10:20:57,2021-06-01T10:29:26+08:00,150,71
J83M,2021-06-01T10:20:51,2021-06-01T10:29:26+08:00,121,66
J67,2021-06-01T10:20:14,2021-06-01T10:29:26+08:00,156,59
JM2,2021-06-01T10:21:09,2021-06-01T10:29:26+08:00,300,79
J70,2021-06-01T11:23:03,2021-06-01T11:29:27+08:00,147,71
J85M,2021-06-01T11:22:58,2021-06-01T11:29:27+08:00,269,175
J72,2021-06-01T11:22:59,2021-06-01T11:29:27+08:00,220,109
J69,2021-06-01T11:21:15,2021-06-01T11:29:27+08:00,222,135
JM31,2021-06-01T11:22:56,2021-06-01T11:29:27+08:00,188,120
J62M,2021-06-01T11:23:00,2021-06-01T11:29:27+08:00,200,160
J63,2021-06-01T11:23:00,2021-06-01T11:29:27+08:00,150,81
J83M,2021-06-01T11:22:53,2021-06-01T11:29:27+08:00,121,68
J67,2021-06-01T11:21:14,2021-06-01T11:29:27+08:00,156,60
JM2,2021-06-01T11:22:09,2021-06-01T11:29:27+08:00,300,59
J70,2021-06-01T12:23:05,2021-06-01T12:29:27+08:00,147,60
J85M,2021-06-01T12:23:00,2021-06-01T12:29:27+08:00,269,180
J72,2021-06-01T12:23:01,2021-06-01T12:29:27+08:00,220,119
J69,2021-06-01T12:22:16,2021-06-01T12:29:27+08:00,222,134
JM31,2021-06-01T12:22:58,2021-06-01T12:29:27+08:00,188,117
J62M,2021-06-01T12:23:01,2021-06-01T12:29:27+08:00,200,160
J63,2021-06-01T12:23:01,2021-06-01T12:29:27+08:00,150,77
J83M,2021-06-01T12:22:55,2021-06-01T12:29:27+08:00,121,60
J67,2021-06-01T12:22:15,2021-06-01T12:29:27+08:00,156,38
JM2,2021-06-01T12:23:12,2021-06-01T12:29:27+08:00,300,41
J70,2021-06-01T13:25:07,2021-06-01T13:29:27+08:00,147,60
J85M,2021-06-01T13:25:02,2021-06-01T13:29:27+08:00,269,186
J72,2021-06-01T13:25:02,2021-06-01T13:29:27+08:00,220,108
J69,2021-06-01T13:23:17,2021-06-01T13:29:27+08:00,222,118
JM31,2021-06-01T13:25:00,2021-06-01T13:29:27+08:00,188,130
J62M,2021-06-01T13:25:03,2021-06-01T13:29:27+08:00,200,157
J63,2021-06-01T13:25:03,2021-06-01T13:29:27+08:00,150,67
J83M,2021-06-01T13:25:26,2021-06-01T13:29:27+08:00,121,66
J67,2021-06-01T13:23:16,2021-06-01T13:29:27+08:00,156,57
JM2,2021-06-01T13:24:09,2021-06-01T13:29:27+08:00,300,36
J70,2021-06-01T14:25:08,2021-06-01T14:29:27+08:00,147,56
J85M,2021-06-01T14:25:03,2021-06-01T14:29:27+08:00,269,181
J72,2021-06-01T14:25:04,2021-06-01T14:29:27+08:00,220,100
