carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2021-10-01T00:30:59,2021-10-01T00:29:27+08:00,147,0
J85M,2021-10-01T00:31:07,2021-10-01T00:29:27+08:00,269,92
J72,2021-10-01T00:30:58,2021-10-01T00:29:27+08:00,220,0
J69,2021-10-01T00:28:38,2021-10-01T00:29:27+08:00,222,24
JM31,2021-10-01T00:31:15,2021-10-01T00:29:27+08:00,188,116
J62M,2021-10-01T00:31:11,2021-10-01T00:29:27+08:00,200,130
J63,2021-10-01T00:31:06,2021-10-01T00:29:27+08:00,150,3
J83M,2021-10-01T00:31:24,2021-10-01T00:29:27+08:00,121,1
J67,2021-10-01T00:28:38,2021-10-01T00:29:27+08:00,156,36
JM2,2021-10-01T00:29:12,2021-10-01T00:29:27+08:00,300,107
J70,2021-10-01T01:31:01,2021-10-01T01:29:27+08:00,147,0
J85M,2021-10-01T01:31:08,2021-10-01T01:29:27+08:00,269,90
J72,2021-10-01T01:31:01,2021-10-01T01:29:27+08:00,220,0
J69,2021-10-01T01:28:39,2021-10-01T01:29:27+08:00,222,23
JM31,2021-10-01T01:31:17,2021-10-01T01:29:27+08:00,188,111
J62M,2021-10-01T01:31:13,2021-10-01T01:29:27+08:00,200,129
J63,2021-10-01T01:31:08,2021-10-01T01:29:27+08:00,150,1
J83M,2021-10-01T01:31:26,2021-10-01T01:29:27+08:00,121,0
J67,2021-10-01T01:28:39,2021-10-01T01:29:27+08:00,156,36
JM2,2021-10-01T01:29:13,2021-10-01T01:29:27+08:00,300,109
J70,2021-10-01T02:23:02,2021-10-01T02:29:27+08:00,147,0
J85M,2021-10-01T02:23:10,2021-10-01T02:29:27+08:00,269,92
J72,2021-10-01T02:23:02,2021-10-01T02:29:27+08:00,220,0
J69,2021-10-01T02:21:40,2021-10-01T02:29:27+08:00,222,22
JM31,2021-10-01T02:23:19,2021-10-01T02:29:27+08:00,188,110
J62M,2021-10-01T02:23:15,2021-10-01T02:29:27+08:00,200,128
J63,2021-10-01T02:23:10,2021-10-01T02:29:27+08:00,150,2
J83M,2021-10-01T02:23:27,2021-10-01T02:29:27+08:00,121,0
J67,2021-10-01T02:21:40,2021-10-01T02:29:27+08:00,156,51
JM2,2021-10-01T02:21:51,2021-10-01T02:29:27+08:00,300,109
J70,2021-10-01T03:25:34,2021-10-01T03:29:27+08:00,147,1
J85M,2021-10-01T03:25:24,2021-10-01T03:29:27+08:00,269,85
