carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2019-09-01T00:28:08,2019-09-01T00:29:27+08:00,147,0
J85M,2019-09-01T00:28:19,2019-09-01T00:29:27+08:00,217,170
J72,2019-09-01T00:28:45,2019-09-01T00:29:27+08:00,255,39
J69,2019-09-01T00:28:06,2019-09-01T00:29:27+08:00,222,45
JM31,2019-09-01T00:28:28,2019-09-01T00:29:27+08:00,180,98
J62M,2019-09-01T00:28:48,2019-09-01T00:29:27+08:00,222,97
J63,2019-09-01T00:28:47,2019-09-01T00:29:27+08:00,153,62
J83M,2019-09-01T00:28:30,2019-09-01T00:29:27+08:00,163,112
J67,2019-09-01T00:28:06,2019-09-01T00:29:27+08:00,156,68
JM2,2019-09-01T00:28:09,2019-09-01T00:29:27+08:00,300,0
J70,2019-09-01T01:28:10,2019-09-01T01:29:27+08:00,147,0
J85M,2019-09-01T01:28:20,2019-09-01T01:29:27+08:00,217,165
J72,2019-09-01T01:28:17,2019-09-01T01:29:27+08:00,255,35
J69,2019-09-01T01:28:07,2019-09-01T01:29:27+08:00,222,36
JM31,2019-09-01T01:28:29,2019-09-01T01:29:27+08:00,180,90
J62M,2019-09-01T01:27:49,2019-09-01T01:29:27+08:00,222,95
J63,2019-09-01T01:27:48,2019-09-01T01:29:27+08:00,153,56
J83M,2019-09-01T01:28:31,2019-09-01T01:29:27+08:00,163,110
J67,2019-09-01T01:28:07,2019-09-01T01:29:27+08:00,156,70
JM2,2019-09-01T01:29:10,2019-09-01T01:29:27+08:00,300,0
J70,2019-09-01T02:28:12,2019-09-01T02:29:27+08:00,147,0
J85M,2019-09-01T02:28:20,2019-09-01T02:29:27+08:00,217,160
J72,2019-09-01T02:28:19,2019-09-01T02:29:27+08:00,255,26
J69,2019-09-01T02:28:08,2019-09-01T02:29:27+08:00,222,32
JM31,2019-09-01T02:28:29,2019-09-01T02:29:27+08:00,180,91
J62M,2019-09-01T02:27:49,2019-09-01T02:29:27+08:00,222,94
J63,2019-09-01T02:27:49,2019-09-01T02:29:27+08:00,153,53
J83M,2019-09-01T02:28:31,2019-09-01T02:29:27+08:00,163,107
J67,2019-09-01T02:28:08,2019-09-01T02:29:27+08:00,156,64
