carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2019-04-01T00:28:26,2019-04-01T00:29:28+08:00,151,0
J85M,2019-04-01T00:28:14,2019-04-01T00:29:28+08:00,217,215
J72,2019-04-01T00:29:11,2019-04-01T00:29:28+08:00,255,21
J69,2019-04-01T00:29:08,2019-04-01T00:29:28+08:00,222,19
JM31,2019-04-01T00:28:19,2019-04-01T00:29:28+08:00,180,128
J62M,2019-04-01T00:28:48,2019-04-01T00:29:28+08:00,222,93
J63,2019-04-01T00:28:47,2019-04-01T00:29:28+08:00,153,26
J83M,2019-04-01T00:28:21,2019-04-01T00:29:28+08:00,163,162
J67,2019-04-01T00:29:07,2019-04-01T00:29:28+08:00,156,66
JM2,2019-04-01T00:28:34,2019-04-01T00:29:28+08:00,300,0
J70,2019-04-01T01:26:57,2019-04-01T01:29:28+08:00,151,4
J85M,2019-04-01T01:26:45,2019-04-01T01:29:28+08:00,217,62
J72,2019-04-01T01:27:43,2019-04-01T01:29:28+08:00,255,17
J69,2019-04-01T01:27:54,2019-04-01T01:29:28+08:00,222,222
JM31,2019-04-01T01:26:49,2019-04-01T01:29:28+08:00,180,125
J62M,2019-04-01T01:27:49,2019-04-01T01:29:28+08:00,222,92
J63,2019-04-01T01:27:48,2019-04-01T01:29:28+08:00,153,21
J83M,2019-04-01T01:26:52,2019-04-01T01:29:28+08:00,163,30
J67,2019-04-01T01:27:08,2019-04-01T01:29:28+08:00,156,97
JM2,2019-04-01T01:28:06,2019-04-01T01:29:28+08:00,300,0
J70,2019-04-01T02:28:27,2019-04-01T02:29:28+08:00,151,0
J85M,2019-04-01T02:28:15,2019-04-01T02:29:28+08:00,217,62
J72,2019-04-01T02:28:45,2019-04-01T02:29:28+08:00,255,12
J69,2019-04-01T02:28:25,2019-04-01T02:29:28+08:00,222,222
JM31,2019-04-01T02:28:20,2019-04-01T02:29:28+08:00,180,125
J62M,2019-04-01T02:28:49,2019-04-01T02:29:28+08:00,222,93
J63,2019-04-01T02:28:49,2019-04-01T02:29:28+08:00,153,19
J83M,2019-04-01T02:28:22,2019-04-01T02:29:28+08:00,163,31
J67,2019-04-01T02:28:09,2019-04-01T02:29:28+08:00,156,94
JM2,2019-04-01T02:29:06,2019-04-01T02:29:28+08:00,300,0
J70,2019-04-01T03:26:37,2019-04-01T03:29:28+08:00,151,0
J85M,2019-04-01T03:26:33,2019-04-01T03:29:28+08:00,217,62
J72,2019-04-01T03:27:33,2019-04-01T03:29:28+08:00,255,19
J69,2019-04-01T03:27:27,2019-04-01T03:29:28+08:00,222,222
JM31,2019-04-01T03:26:40,2019-04-01T03:29:28+08:00,180,124
J62M,2019-04-01T03:27:29,2019-04-01T03:29:28+08:00,222,93
J63,2019-04-01T03:27:29,2019-04-01T03:29:28+08:00,153,20
J83M,2019-04-01T03:26:43,2019-04-01T03:29:28+08:00,163,31
J67,2019-04-01T03:26:48,2019-04-01T03:29:28+08:00,156,93
JM2,2019-04-01T03:28:38,2019-04-01T03:29:28+08:00,300,0
J70,2019-04-01T04:28:08,2019-04-01T04:29:28+08:00,151,0
J85M,2019-04-01T04:28:03,2019-04-01T04:29:28+08:00,217,216
J72,2019-04-01T04:28:04,2019-04-01T04:29:28+08:00,255,56
J69,2019-04-01T04:28:29,2019-04-01T04:29:28+08:00,222,222
JM31,2019-04-01T04:28:10,2019-04-01T04:29:28+08:00,180,123
J62M,2019-04-01T04:28:30,2019-04-01T04:29:28+08:00,222,91
J63,2019-04-01T04:28:30,2019-04-01T04:29:28+08:00,153,21
J83M,2019-04-01T04:28:14,2019-04-01T04:29:28+08:00,163,163
J67,2019-04-01T04:27:49,2019-04-01T04:29:28+08:00,156,101
JM2,2019-04-01T04:28:39,2019-04-01T04:29:28+08:00,300,0
J70,2019-04-01T05:28:08,2019-04-01T05:29:28+08:00,151,0
J85M,2019-04-01T05:28:04,2019-04-01T05:29:28+08:00,217,217
J72,2019-04-01T05:29:06,2019-04-01T05:29:28+08:00,255,71
