carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2021-03-01T00:25:05,2021-03-01T00:29:27+08:00,147,16
J85M,2021-03-01T00:24:59,2021-03-01T00:29:27+08:00,269,94
J72,2021-03-01T00:25:16,2021-03-01T00:29:27+08:00,220,0
J69,2021-03-01T00:23:18,2021-03-01T00:29:27+08:00,222,3
JM31,2021-03-01T00:25:06,2021-03-01T00:29:27+08:00,188,116
J62M,2021-03-01T00:25:12,2021-03-01T00:29:27+08:00,200,139
J63,2021-03-01T00:24:50,2021-03-01T00:29:27+08:00,150,0
J83M,2021-03-01T00:25:12,2021-03-01T00:29:27+08:00,121,3
J67,2021-03-01T00:23:17,2021-03-01T00:29:27+08:00,156,40
JM2,2021-03-01T00:22:58,2021-03-01T00:29:27+08:00,300,0
J70,2021-03-01T01:25:06,2021-03-01T01:29:27+08:00,147,17
J85M,2021-03-01T01:25:01,2021-03-01T01:29:27+08:00,269,88
J72,2021-03-01T01:25:18,2021-03-01T01:29:27+08:00,220,0
J69,2021-03-01T01:24:19,2021-03-01T01:29:27+08:00,222,0
JM31,2021-03-01T01:25:07,2021-03-01T01:29:27+08:00,188,115
J62M,2021-03-01T01:25:13,2021-03-01T01:29:27+08:00,200,138
J63,2021-03-01T01:24:51,2021-03-01T01:29:27+08:00,150,0
J83M,2021-03-01T01:25:14,2021-03-01T01:29:27+08:00,121,0
J67,2021-03-01T01:24:18,2021-03-01T01:29:27+08:00,156,42
JM2,2021-03-01T01:23:39,2021-03-01T01:29:27+08:00,300,0
J70,2021-03-01T02:25:08,2021-03-01T02:29:27+08:00,147,16
J85M,2021-03-01T02:25:03,2021-03-01T02:29:27+08:00,269,87
J72,2021-03-01T02:25:19,2021-03-01T02:29:27+08:00,220,0
J69,2021-03-01T02:24:20,2021-03-01T02:29:27+08:00,222,0
JM31,2021-03-01T02:25:09,2021-03-01T02:29:27+08:00,188,115
J62M,2021-03-01T02:25:15,2021-03-01T02:29:27+08:00,200,135
J63,2021-03-01T02:25:23,2021-03-01T02:29:27+08:00,150,0
J83M,2021-03-01T02:25:16,2021-03-01T02:29:27+08:00,121,0
J67,2021-03-01T02:24:19,2021-03-01T02:29:27+08:00,156,47
JM2,2021-03-01T02:23:39,2021-03-01T02:29:27+08:00,300,0
J70,2021-03-01T03:25:25,2021-03-01T03:29:27+08:00,147,14
J85M,2021-03-01T03:25:23,2021-03-01T03:29:27+08:00,269,88
J72,2021-03-01T03:25:12,2021-03-01T03:29:27+08:00,220,0
J69,2021-03-01T03:24:54,2021-03-01T03:29:27+08:00,222,0
JM31,2021-03-01T03:25:22,2021-03-01T03:29:27+08:00,188,114
J62M,2021-03-01T03:25:02,2021-03-01T03:29:27+08:00,200,135
J63,2021-03-01T03:25:16,2021-03-01T03:29:27+08:00,150,0
J83M,2021-03-01T03:25:13,2021-03-01T03:29:27+08:00,121,0
J67,2021-03-01T03:24:53,2021-03-01T03:29:27+08:00,156,46
JM2,2021-03-01T03:25:09,2021-03-01T03:29:27+08:00,300,183
J70,2021-03-01T04:27:27,2021-03-01T04:29:27+08:00,147,16
J85M,2021-03-01T04:27:25,2021-03-01T04:29:27+08:00,269,89
J72,2021-03-01T04:27:13,2021-03-01T04:29:27+08:00,220,0
J69,2021-03-01T04:25:55,2021-03-01T04:29:27+08:00,222,0
JM31,2021-03-01T04:27:24,2021-03-01T04:29:27+08:00,188,115
J62M,2021-03-01T04:27:04,2021-03-01T04:29:27+08:00,200,134
J63,2021-03-01T04:27:18,2021-03-01T04:29:27+08:00,150,1
J83M,2021-03-01T04:27:14,2021-03-01T04:29:27+08:00,121,2
J67,2021-03-01T04:25:54,2021-03-01T04:29:27+08:00,156,48
JM2,2021-03-01T04:26:12,2021-03-01T04:29:27+08:00,300,179
J70,2021-03-01T05:27:29,2021-03-01T05:29:27+08:00,147,17
J85M,2021-03-01T05:27:26,2021-03-01T05:29:27+08:00,269,92
J72,2021-03-01T05:27:15,2021-03-01T05:29:27+08:00,220,0
J69,2021-03-01T05:27:56,2021-03-01T05:29:27+08:00,222,3
JM31,2021-03-01T05:27:25,2021-03-01T05:29:27+08:00,188,115
J62M,2021-03-01T05:27:36,2021-03-01T05:29:27+08:00,200,134
J63,2021-03-01T05:27:20,2021-03-01T05:29:27+08:00,150,2
J83M,2021-03-01T05:27:16,2021-03-01T05:29:27+08:00,121,2
J67,2021-03-01T05:27:55,2021-03-01T05:29:27+08:00,156,52
JM2,2021-03-01T05:27:12,2021-03-01T05:29:27+08:00,300,173
J70,2021-03-01T06:29:30,2021-03-01T06:29:27+08:00,147,32
J85M,2021-03-01T06:29:28,2021-03-01T06:29:27+08:00,269,101
J72,2021-03-01T06:29:17,2021-03-01T06:29:27+08:00,220,14
J69,2021-03-01T06:28:57,2021-03-01T06:29:27+08:00,222,22
JM31,2021-03-01T06:29:27,2021-03-01T06:29:27+08:00,188,113
J62M,2021-03-01T06:29:37,2021-03-01T06:29:27+08:00,200,139
J63,2021-03-01T06:29:22,2021-03-01T06:29:27+08:00,150,12
J83M,2021-03-01T06:29:18,2021-03-01T06:29:27+08:00,121,4
J67,2021-03-01T06:28:56,2021-03-01T06:29:27+08:00,156,48
JM2,2021-03-01T06:27:43,2021-03-01T06:29:27+08:00,300,154
J70,2021-03-01T06:59:31,2021-03-01T07:29:27+08:00,147,60
J85M,2021-03-01T06:59:29,2021-03-01T07:29:27+08:00,269,128
J72,2021-03-01T06:59:18,2021-03-01T07:29:27+08:00,220,28
J69,2021-03-01T06:58:57,2021-03-01T07:29:27+08:00,222,47
JM31,2021-03-01T06:59:28,2021-03-01T07:29:27+08:00,188,120
J62M,2021-03-01T06:59:38,2021-03-01T07:29:27+08:00,200,145
J63,2021-03-01T06:59:23,2021-03-01T07:29:27+08:00,150,26
J83M,2021-03-01T06:59:19,2021-03-01T07:29:27+08:00,121,15
J67,2021-03-01T06:58:56,2021-03-01T07:29:27+08:00,156,50
JM2,2021-03-01T06:58:13,2021-03-01T07:29:27+08:00,300,111
J70,2021-03-01T08:01:33,2021-03-01T08:29:27+08:00,147,83
J85M,2021-03-01T08:01:31,2021-03-01T08:29:27+08:00,269,159
J72,2021-03-01T08:01:20,2021-03-01T08:29:27+08:00,220,68
J69,2021-03-01T07:59:58,2021-03-01T08:29:27+08:00,222,105
JM31,2021-03-01T08:01:30,2021-03-01T08:29:27+08:00,188,106
J62M,2021-03-01T08:01:40,2021-03-01T08:29:27+08:00,200,151
J63,2021-03-01T08:01:24,2021-03-01T08:29:27+08:00,150,60
J83M,2021-03-01T08:01:21,2021-03-01T08:29:27+08:00,121,54
J67,2021-03-01T07:59:57,2021-03-01T08:29:27+08:00,156,51
