carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2021-07-01T00:16:42,2021-07-01T00:29:27+08:00,147,0
J85M,2021-07-01T00:16:43,2021-07-01T00:29:27+08:00,269,97
J72,2021-07-01T00:16:36,2021-07-01T00:29:27+08:00,220,0
J69,2021-07-01T00:14:21,2021-07-01T00:29:27+08:00,222,13
JM31,2021-07-01T00:16:38,2021-07-01T00:29:27+08:00,188,124
J62M,2021-07-01T00:16:33,2021-07-01T00:29:27+08:00,200,132
J63,2021-07-01T00:16:58,2021-07-01T00:29:27+08:00,150,0
J83M,2021-07-01T00:16:30,2021-07-01T00:29:27+08:00,121,0
J67,2021-07-01T00:14:20,2021-07-01T00:29:27+08:00,156,41
JM2,2021-07-01T00:14:34,2021-07-01T00:29:27+08:00,300,152
J70,2021-07-01T01:16:44,2021-07-01T01:29:27+08:00,147,0
J85M,2021-07-01T01:16:45,2021-07-01T01:29:27+08:00,269,97
J72,2021-07-01T01:16:37,2021-07-01T01:29:27+08:00,220,0
J69,2021-07-01T01:15:22,2021-07-01T01:29:27+08:00,222,11
JM31,2021-07-01T01:16:40,2021-07-01T01:29:27+08:00,188,120
J62M,2021-07-01T01:16:35,2021-07-01T01:29:27+08:00,200,128
J63,2021-07-01T01:17:00,2021-07-01T01:29:27+08:00,150,0
J83M,2021-07-01T01:16:32,2021-07-01T01:29:27+08:00,121,3
J67,2021-07-01T01:15:21,2021-07-01T01:29:27+08:00,156,40
JM2,2021-07-01T01:15:34,2021-07-01T01:29:27+08:00,300,149
J70,2021-07-01T02:18:45,2021-07-01T02:29:27+08:00,147,0
J85M,2021-07-01T02:18:47,2021-07-01T02:29:27+08:00,269,96
J72,2021-07-01T02:18:39,2021-07-01T02:29:27+08:00,220,0
J69,2021-07-01T02:17:22,2021-07-01T02:29:27+08:00,222,19
JM31,2021-07-01T02:18:42,2021-07-01T02:29:27+08:00,188,121
J62M,2021-07-01T02:18:37,2021-07-01T02:29:27+08:00,200,127
J63,2021-07-01T02:19:01,2021-07-01T02:29:27+08:00,150,0
J83M,2021-07-01T02:19:04,2021-07-01T02:29:27+08:00,121,0
J67,2021-07-01T02:17:22,2021-07-01T02:29:27+08:00,156,47
JM2,2021-07-01T02:17:05,2021-07-01T02:29:27+08:00,300,148
J70,2021-07-01T03:18:53,2021-07-01T03:29:27+08:00,147,0
J85M,2021-07-01T03:18:57,2021-07-01T03:29:27+08:00,269,99
J72,2021-07-01T03:18:57,2021-07-01T03:29:27+08:00,220,0
J69,2021-07-01T03:18:08,2021-07-01T03:29:27+08:00,222,16
JM31,2021-07-01T03:18:56,2021-07-01T03:29:27+08:00,188,121
J62M,2021-07-01T03:19:08,2021-07-01T03:29:27+08:00,200,128
J63,2021-07-01T03:18:59,2021-07-01T03:29:27+08:00,150,0
J83M,2021-07-01T03:19:00,2021-07-01T03:29:27+08:00,121,0
J67,2021-07-01T03:18:07,2021-07-01T03:29:27+08:00,156,44
JM2,2021-07-01T03:18:05,2021-07-01T03:29:27+08:00,300,216
J70,2021-07-01T04:18:55,2021-07-01T04:29:27+08:00,147,0
J85M,2021-07-01T04:18:58,2021-07-01T04:29:27+08:00,269,99
J72,2021-07-01T04:18:59,2021-07-01T04:29:27+08:00,220,0
J69,2021-07-01T04:18:09,2021-07-01T04:29:27+08:00,222,13
JM31,2021-07-01T04:18:58,2021-07-01T04:29:27+08:00,188,120
J62M,2021-07-01T04:19:10,2021-07-01T04:29:27+08:00,200,126
J63,2021-07-01T04:19:00,2021-07-01T04:29:27+08:00,150,0
J83M,2021-07-01T04:19:01,2021-07-01T04:29:27+08:00,121,0
J67,2021-07-01T04:18:08,2021-07-01T04:29:27+08:00,156,48
JM2,2021-07-01T04:19:01,2021-07-01T04:29:27+08:00,300,217
J70,2021-07-01T05:20:57,2021-07-01T05:29:27+08:00,147,2
J85M,2021-07-01T05:21:00,2021-07-01T05:29:27+08:00,269,98
J72,2021-07-01T05:21:00,2021-07-01T05:29:27+08:00,220,0
J69,2021-07-01T05:19:10,2021-07-01T05:29:27+08:00,222,15
JM31,2021-07-01T05:21:00,2021-07-01T05:29:27+08:00,188,120
J62M,2021-07-01T05:21:12,2021-07-01T05:29:27+08:00,200,126
J63,2021-07-01T05:21:02,2021-07-01T05:29:27+08:00,150,0
J83M,2021-07-01T05:21:03,2021-07-01T05:29:27+08:00,121,0
J67,2021-07-01T05:19:09,2021-07-01T05:29:27+08:00,156,41
JM2,2021-07-01T05:20:01,2021-07-01T05:29:27+08:00,300,213
J70,2021-07-01T06:20:59,2021-07-01T06:29:27+08:00,147,13
J85M,2021-07-01T06:21:01,2021-07-01T06:29:27+08:00,269,104
J72,2021-07-01T06:21:02,2021-07-01T06:29:27+08:00,220,10
J69,2021-07-01T06:20:11,2021-07-01T06:29:27+08:00,222,24
JM31,2021-07-01T06:21:01,2021-07-01T06:29:27+08:00,188,119
J62M,2021-07-01T06:21:13,2021-07-01T06:29:27+08:00,200,129
J63,2021-07-01T06:21:04,2021-07-01T06:29:27+08:00,150,0
J83M,2021-07-01T06:21:05,2021-07-01T06:29:27+08:00,121,3
J67,2021-07-01T06:20:10,2021-07-01T06:29:27+08:00,156,36
JM2,2021-07-01T06:20:31,2021-07-01T06:29:27+08:00,300,202
J70,2021-07-01T07:23:00,2021-07-01T07:29:27+08:00,147,44
J85M,2021-07-01T07:23:03,2021-07-01T07:29:27+08:00,269,147
J72,2021-07-01T07:23:04,2021-07-01T07:29:27+08:00,220,69
J69,2021-07-01T07:21:12,2021-07-01T07:29:27+08:00,222,81
JM31,2021-07-01T07:23:03,2021-07-01T07:29:27+08:00,188,119
J62M,2021-07-01T07:23:15,2021-07-01T07:29:27+08:00,200,134
J63,2021-07-01T07:23:06,2021-07-01T07:29:27+08:00,150,25
