carpark_number,update_datetime,timestamp,total_lots,lots_available
J70,2021-02-01T00:06:36,2021-02-01T00:29:27+08:00,147,11
J85M,2021-02-01T00:06:34,2021-02-01T00:29:27+08:00,269,99
J72,2021-02-01T00:07:02,2021-02-01T00:29:27+08:00,220,0
J69,2021-02-01T00:05:52,2021-02-01T00:29:27+08:00,222,5
JM31,2021-02-01T00:06:48,2021-02-01T00:29:27+08:00,188,117
J62M,2021-02-01T00:06:48,2021-02-01T00:29:27+08:00,200,136
J63,2021-02-01T00:06:34,2021-02-01T00:29:27+08:00,150,1
J83M,2021-02-01T00:06:44,2021-02-01T00:29:27+08:00,121,0
J67,2021-02-01T00:05:51,2021-02-01T00:29:27+08:00,156,40
JM2,2021-02-01T00:04:24,2021-02-01T00:29:27+08:00,300,18
J70,2021-02-01T01:06:37,2021-02-01T01:29:27+08:00,147,15
J85M,2021-02-01T01:07:06,2021-02-01T01:29:27+08:00,269,90
J72,2021-02-01T01:07:04,2021-02-01T01:29:27+08:00,220,0
J69,2021-02-01T01:05:54,2021-02-01T01:29:27+08:00,222,0
JM31,2021-02-01T01:06:50,2021-02-01T01:29:27+08:00,188,119
J62M,2021-02-01T01:06:50,2021-02-01T01:29:27+08:00,200,133
J63,2021-02-01T01:07:06,2021-02-01T01:29:27+08:00,150,0
J83M,2021-02-01T01:06:45,2021-02-01T01:29:27+08:00,121,0
J67,2021-02-01T01:05:53,2021-02-01T01:29:27+08:00,156,44
JM2,2021-02-01T01:05:54,2021-02-01T01:29:27+08:00,300,20
J70,2021-02-01T02:07:09,2021-02-01T02:29:26+08:00,147,15
J85M,2021-02-01T02:07:08,2021-02-01T02:29:26+08:00,269,86
J72,2021-02-01T02:07:05,2021-02-01T02:29:26+08:00,220,0
J69,2021-02-01T02:05:54,2021-02-01T02:29:26+08:00,222,0
JM31,2021-02-01T02:06:52,2021-02-01T02:29:26+08:00,188,117
J62M,2021-02-01T02:06:52,2021-02-01T02:29:26+08:00,200,134
J63,2021-02-01T02:07:08,2021-02-01T02:29:26+08:00,150,0
J83M,2021-02-01T02:06:47,2021-02-01T02:29:26+08:00,121,0
J67,2021-02-01T02:05:53,2021-02-01T02:29:26+08:00,156,48
JM2,2021-02-01T02:05:55,2021-02-01T02:29:26+08:00,300,22
J70,2021-02-01T03:08:57,2021-02-01T03:29:27+08:00,147,0
J85M,2021-02-01T03:09:08,2021-02-01T03:29:27+08:00,269,87
J72,2021-02-01T03:08:48,2021-02-01T03:29:27+08:00,220,0
J69,2021-02-01T03:06:35,2021-02-01T03:29:27+08:00,222,0
JM31,2021-02-01T03:08:53,2021-02-01T03:29:27+08:00,188,114
J62M,2021-02-01T03:09:11,2021-02-01T03:29:27+08:00,200,135
J63,2021-02-01T03:09:05,2021-02-01T03:29:27+08:00,150,0
J83M,2021-02-01T03:09:12,2021-02-01T03:29:27+08:00,121,0
J67,2021-02-01T03:06:35,2021-02-01T03:29:27+08:00,156,48
JM2,2021-02-01T03:06:55,2021-02-01T03:29:27+08:00,300,213
J70,2021-02-01T04:08:58,2021-02-01T04:29:27+08:00,147,15
J85M,2021-02-01T04:09:09,2021-02-01T04:29:27+08:00,269,88
J72,2021-02-01T04:08:50,2021-02-01T04:29:27+08:00,220,0
J69,2021-02-01T04:08:36,2021-02-01T04:29:27+08:00,222,0
JM31,2021-02-01T04:08:55,2021-02-01T04:29:27+08:00,188,114
J62M,2021-02-01T04:09:13,2021-02-01T04:29:27+08:00,200,134
J63,2021-02-01T04:09:07,2021-02-01T04:29:27+08:00,150,0
J83M,2021-02-01T04:09:14,2021-02-01T04:29:27+08:00,121,0
J67,2021-02-01T04:08:36,2021-02-01T04:29:27+08:00,156,46
JM2,2021-02-01T03:51:26,2021-02-01T04:29:27+08:00,300,211
J70,2021-02-01T05:09:00,2021-02-01T05:29:27+08:00,147,15
J85M,2021-02-01T05:09:11,2021-02-01T05:29:27+08:00,269,88
J72,2021-02-01T05:08:52,2021-02-01T05:29:27+08:00,220,0
J69,2021-02-01T05:09:37,2021-02-01T05:29:27+08:00,222,0
JM31,2021-02-01T05:08:57,2021-02-01T05:29:27+08:00,188,113
J62M,2021-02-01T05:09:14,2021-02-01T05:29:27+08:00,200,136
J63,2021-02-01T05:09:08,2021-02-01T05:29:27+08:00,150,0
J83M,2021-02-01T05:09:16,2021-02-01T05:29:27+08:00,121,0
J67,2021-02-01T05:09:37,2021-02-01T05:29:27+08:00,156,46
JM2,2021-02-01T03:51:26,2021-02-01T05:29:27+08:00,300,211
J70,2021-02-01T06:11:02,2021-02-01T06:29:27+08:00,147,15
J85M,2021-02-01T06:11:13,2021-02-01T06:29:27+08:00,269,96
J72,2021-02-01T06:11:23,2021-02-01T06:29:27+08:00,220,7
J69,2021-02-01T06:10:38,2021-02-01T06:29:27+08:00,222,8
JM31,2021-02-01T06:10:59,2021-02-01T06:29:27+08:00,188,111
